Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Mesa View Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,PA
Mesa View Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,PA
Mesa View Regional Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,PA
Mesa View Regional Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,PA
Mesa View Regional Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,PA
Mesa View Regional Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,PA
Mesa View Regional Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,PA
Mesa View Regional Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,PA
Mesa View Regional Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,PA
Mesa View Regional Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,PA
Mesa View Regional Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,PA
Mesa View Regional Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",-,PA
Mesa View Regional Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",-,PA
Mesa View Regional Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,PA
Mesa View Regional Hospital,Psychology,HCPCS 90853,Group psychotherapy,-,PA
Mesa View Regional Hospital,Speech,HCPCS 92507,Speech Therapy,-,PA
Mesa View Regional Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,PA
Mesa View Regional Hospital,Speech,HCPCS 92526,Swallow Treatment,-,PA
Mesa View Regional Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,PA
Mesa View Regional Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,PA
Mesa View Regional Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,PA
Mesa View Regional Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,PA
Mesa View Regional Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,PA
Mesa View Regional Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,PA
Mesa View Regional Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,PA
Mesa View Regional Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,PA
Mesa View Regional Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,PA
Mesa View Regional Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,PA
Mesa View Regional Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,-,PA
Mesa View Regional Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,PA
Mesa View Regional Hospital,Blood,HCPCS 85041,"Red blood count, automated test",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82140,Ammonia level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82565,Blood creatinine level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84132,Blood potassium level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84295,Blood sodium level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82310,Calcium level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82465,Cholesterol level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82525,Copper level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82746,Folic acid; serum,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 82330,Ionized Calcium,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83540,Iron level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,-,PA
Mesa View Regional Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,PA
