Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Carolina Pines Regional Medical Cent,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,SC
Carolina Pines Regional Medical Cent,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,SC
Carolina Pines Regional Medical Cent,Speech,HCPCS 92610,Swallow Evaluation,-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 85018,"Blood count, hemoglobin",-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 85610,"Blood test, clotting time",-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 85730,Coagulation assessment blood test,-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS 85660,Red blood cell sickling measurement,-,SC
Carolina Pines Regional Medical Cent,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82040,Albumin (protein) level,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82140,Ammonia level,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 84439,Assay of free thyroxine,-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82247,Bilirubin level (Total),-,SC
Carolina Pines Regional Medical Cent,Chemistry,HCPCS 82565,Blood creatinine level,-,SC
