Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Charleston,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$19.50,SC
Encompass Health Rehabilitation Hospital of Charleston,Blood,HCPCS 85027,"Complete blood count, automated",$11.25,SC
Encompass Health Rehabilitation Hospital of Charleston,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$13.50,SC
Encompass Health Rehabilitation Hospital of Charleston,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$11.25,SC
Encompass Health Rehabilitation Hospital of Charleston,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$20.25,SC
Encompass Health Rehabilitation Hospital of Charleston,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,SC
Encompass Health Rehabilitation Hospital of Charleston,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,SC
Encompass Health Rehabilitation Hospital of Charleston,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$25.50,SC
Encompass Health Rehabilitation Hospital of Charleston,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,SC
Encompass Health Rehabilitation Hospital of Charleston,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$20.25,SC
Encompass Health Rehabilitation Hospital of Charleston,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$20.25,SC
Encompass Health Rehabilitation Hospital of Charleston,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,SC
Encompass Health Rehabilitation Hospital of Charleston,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,308.00",SC
Encompass Health Rehabilitation Hospital of Charleston,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,911.75",SC
Encompass Health Rehabilitation Hospital of Charleston,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,593.00",SC
Encompass Health Rehabilitation Hospital of Charleston,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,701.00",SC
Encompass Health Rehabilitation Hospital of Charleston,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$2,165.25",SC
Encompass Health Rehabilitation Hospital of Charleston,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",SC
Encompass Health Rehabilitation Hospital of Charleston,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$450.00,SC
Encompass Health Rehabilitation Hospital of Charleston,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,SC
Encompass Health Rehabilitation Hospital of Charleston,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$189.00,SC
