Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera Gettysburg Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,SD
Avera Gettysburg Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,SD
Avera Gettysburg Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,SD
Avera Gettysburg Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,SD
Avera Gettysburg Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,SD
Avera Gettysburg Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 83735,Magnesium Level,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 83970,Parathormone,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",-,SD
Avera Gettysburg Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,SD
Avera Gettysburg Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,SD
Avera Gettysburg Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,SD
Avera Gettysburg Hospital,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,-,SD
Avera Gettysburg Hospital,Microbiology,HCPCS 87207,Smear for infectious agents,-,SD
Avera Gettysburg Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,-,SD
Avera Gettysburg Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,SD
Avera Gettysburg Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,SD
Avera Gettysburg Hospital,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,-,SD
Avera Gettysburg Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,SD
Avera Gettysburg Hospital,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,SD
Avera Gettysburg Hospital,Breast,HCPCS 77067,Mammogram Screening,-,SD
Avera Gettysburg Hospital,Breast,HCPCS 77066,Mammography of both breasts,-,SD
Avera Gettysburg Hospital,Chest,HCPCS 71046,X-ray of chest; 2 Views,-,SD
Avera Gettysburg Hospital,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",-,SD
Avera Gettysburg Hospital,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",-,SD
Avera Gettysburg Hospital,Lower Limbs,HCPCS 73630,X-ray exam of foot,-,SD
Avera Gettysburg Hospital,Lower Limbs,HCPCS 73590,"X-ray Lower Leg, 2 Views",-,SD
Avera Gettysburg Hospital,Spine,HCPCS 72100,"X-ray Lower Sacral Spine, 2 or 3 views",-,SD
Avera Gettysburg Hospital,Spine,HCPCS 72040,"X-ray Neck Spine, 2-3 Views",-,SD
Avera Gettysburg Hospital,Upper Limbs,HCPCS 73130,"X-ray Hand, 3 Views",-,SD
Avera Gettysburg Hospital,Upper Limbs,HCPCS 73030,"X-ray Shoulder, 2 Views",-,SD
Avera Gettysburg Hospital,Upper Limbs,HCPCS 73110,"X-ray Wrist, 3+ Views",-,SD
Avera Gettysburg Hospital,Vascular,HCPCS 36430,Transfusion of Blood or Blood Products,-,SD
