Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera Weskota Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,SD
Avera Weskota Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,SD
Avera Weskota Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,SD
Avera Weskota Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,SD
Avera Weskota Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,SD
Avera Weskota Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,SD
Avera Weskota Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,SD
Avera Weskota Memorial Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,SD
Avera Weskota Memorial Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,SD
Avera Weskota Memorial Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,-,SD
Avera Weskota Memorial Hospital,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,-,SD
Avera Weskota Memorial Hospital,Immunology,HCPCS 86592,Syphilis Detection Test,-,SD
Avera Weskota Memorial Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,SD
Avera Weskota Memorial Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,SD
Avera Weskota Memorial Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,SD
Avera Weskota Memorial Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,SD
Avera Weskota Memorial Hospital,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,SD
Avera Weskota Memorial Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,SD
Avera Weskota Memorial Hospital,Breast,HCPCS 77067,Mammogram Screening,-,SD
Avera Weskota Memorial Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,SD
Avera Weskota Memorial Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,SD
Avera Weskota Memorial Hospital,Chest,HCPCS 71046,X-ray of chest; 2 Views,-,SD
Avera Weskota Memorial Hospital,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",-,SD
Avera Weskota Memorial Hospital,Head and Neck,HCPCS 70160,"X-ray of bones of nose, minimum of 3 views",-,SD
Avera Weskota Memorial Hospital,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",-,SD
Avera Weskota Memorial Hospital,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",-,SD
Avera Weskota Memorial Hospital,Lower Limbs,HCPCS 73630,X-ray exam of foot,-,SD
Avera Weskota Memorial Hospital,Lower Limbs,HCPCS 73562,"X-ray exam of knee, 3 views",-,SD
Avera Weskota Memorial Hospital,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",-,SD
Avera Weskota Memorial Hospital,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",-,SD
Avera Weskota Memorial Hospital,Spine,HCPCS 72100,"X-ray Lower Sacral Spine, 2 or 3 views",-,SD
Avera Weskota Memorial Hospital,Spine,HCPCS 72040,"X-ray Neck Spine, 2-3 Views",-,SD
Avera Weskota Memorial Hospital,Upper Limbs,HCPCS 73130,"X-ray Hand, 3 Views",-,SD
Avera Weskota Memorial Hospital,Upper Limbs,HCPCS 73030,"X-ray Shoulder, 2 Views",-,SD
Avera Weskota Memorial Hospital,Upper Limbs,HCPCS 73110,"X-ray Wrist, 3+ Views",-,SD
