Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Same Day Surgery Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$7.94,SD
Same Day Surgery Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$7.94,SD
Same Day Surgery Center,Blood,HCPCS 85610,"Blood test, clotting time",$13.19,SD
Same Day Surgery Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$26.09,SD
Same Day Surgery Center,Blood,HCPCS 85027,"Complete blood count, automated",$21.73,SD
Same Day Surgery Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$11.55,SD
Same Day Surgery Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$254.70,SD
Same Day Surgery Center,Chemistry,HCPCS 82040,Albumin (protein) level,$16.60,SD
Same Day Surgery Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$48.99,SD
Same Day Surgery Center,Chemistry,HCPCS 82565,Blood creatinine level,$17.22,SD
Same Day Surgery Center,Chemistry,HCPCS 82310,Calcium level,$17.32,SD
Same Day Surgery Center,Chemistry,HCPCS 83970,Parathormone,$147.60,SD
Same Day Surgery Center,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$17.36,SD
Same Day Surgery Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$28.91,SD
Same Day Surgery Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$28.40,SD
Same Day Surgery Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$35.47,SD
Same Day Surgery Center,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$112.76,SD
Same Day Surgery Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$63.00,SD
Same Day Surgery Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$10.02,SD
Same Day Surgery Center,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$59.81,SD
Same Day Surgery Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$7.53,SD
Same Day Surgery Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$10.61,SD
Same Day Surgery Center,Ultrasound,HCPCS 76942,Ultrasound guidance for biopsy,$231.30,SD
Same Day Surgery Center,Chest,HCPCS 71045,X-ray of chest; Single View,$64.30,SD
Same Day Surgery Center,Lower Limbs,HCPCS 73600,"X-ray Ankle, 2 Views",$64.30,SD
Same Day Surgery Center,Lower Limbs,HCPCS 73630,X-ray exam of foot,$65.55,SD
Same Day Surgery Center,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",$65.55,SD
Same Day Surgery Center,Lower Limbs,HCPCS 73650,"X-ray Heel, 2 Views",$64.30,SD
Same Day Surgery Center,Upper Limbs,HCPCS 73130,"X-ray Hand, 3 Views",$64.30,SD
Same Day Surgery Center,Abdomenal,HCPCS 52204,Biopsy of the bladder using an endoscope,"$4,787.46",SD
Same Day Surgery Center,Abdomenal,HCPCS 47562,Cholecystectomy,"$9,474.93",SD
Same Day Surgery Center,Abdomenal,HCPCS 47563,Cholecystectomy with cholangiography,"$10,014.93",SD
Same Day Surgery Center,Abdomenal,HCPCS 52353,Crushing of stone in urinary duct (ureter) using an endoscope,"$7,426.31",SD
Same Day Surgery Center,Abdomenal,HCPCS 52356,Crushing of stone in urinary duct (ureter) with stent using an endoscope,"$7,880.73",SD
Same Day Surgery Center,Abdomenal,HCPCS 52000,Diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,"$2,448.00",SD
Same Day Surgery Center,Abdomenal,HCPCS 49505,Inguinal hernia repair (age over 5),"$7,509.73",SD
Same Day Surgery Center,Abdomenal,HCPCS 44970,Removal of appendix using an endoscope (Outpatient),"$7,859.50",SD
Same Day Surgery Center,Abdomenal,HCPCS 49650,Repair of groin hernia using an endoscope,"$9,013.87",SD
Same Day Surgery Center,Abdomenal,HCPCS 49654,Repair of incisional hernia using an endoscope,"$12,646.38",SD
Same Day Surgery Center,Abdomenal,HCPCS 49653,Repair of trapped hernia using an endoscope,"$11,528.40",SD
Same Day Surgery Center,Abdomenal,HCPCS 49507,Trapped inguinal hernia repair (age over 5),"$7,509.73",SD
