Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Bon Secours Depaul Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,871.60",VA
Bon Secours Depaul Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$321.60,VA
Bon Secours Depaul Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$558.00,VA
Bon Secours Depaul Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$826.80,VA
Bon Secours Depaul Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,349.40",VA
Bon Secours Depaul Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,854.00",VA
Bon Secours Depaul Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,$190.80,VA
Bon Secours Depaul Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$67.20,VA
Bon Secours Depaul Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$384.00,VA
Bon Secours Depaul Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$534.60,VA
Bon Secours Depaul Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$272.40,VA
Bon Secours Depaul Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$321.00,VA
Bon Secours Depaul Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$475.20,VA
Bon Secours Depaul Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$258.60,VA
Bon Secours Depaul Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$106.80,VA
Bon Secours Depaul Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$393.60,VA
Bon Secours Depaul Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$167.40,VA
Bon Secours Depaul Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$269.40,VA
Bon Secours Depaul Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$310.20,VA
Bon Secours Depaul Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$669.60,VA
Bon Secours Depaul Medical Center,Speech,HCPCS 92507,Speech Therapy,$55.20,VA
Bon Secours Depaul Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$185.40,VA
Bon Secours Depaul Medical Center,Speech,HCPCS 92526,Swallow Treatment,$132.00,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$24.60,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$24.60,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$30.00,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$81.00,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$20.40,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$41.40,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$44.40,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$34.80,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$62.40,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$16.20,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$132.00,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$44.40,VA
Bon Secours Depaul Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$489.00,VA
Bon Secours Depaul Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$17.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$179.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$171.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$42.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$92.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$102.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82140,Ammonia level,$68.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$27.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$105.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$85.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$42.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$87.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$24.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$22.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$42.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$18.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$36.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$46.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$110.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82310,Calcium level,$21.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$31.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$87.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$55.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82525,Copper level,$64.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$95.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$142.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$39.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$89.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$105.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$170.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$63.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$130.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$66.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$73.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$73.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$85.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$85.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$60.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$63.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$73.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$162.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$127.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$259.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$67.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$58.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$40.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83540,Iron level,$58.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$43.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$63.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$31.80,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$55.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$66.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83021,Liver function blood test panel,$87.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$49.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$253.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$60.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$60.60,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83918,Organic acid level,$106.20,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83945,Oxalate level,$75.00,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 83970,Parathormone,$182.40,VA
Bon Secours Depaul Medical Center,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$48.60,VA
