Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Carilion Giles Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$6,480.95",VA
Carilion Giles Community Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$35,281.92",VA
Carilion Giles Community Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,158.29",VA
Carilion Giles Community Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$11,916.45",VA
Carilion Giles Community Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,"$11,825.10",VA
Carilion Giles Community Hospital,Speech,HCPCS 92507,Speech Therapy,"$5,430.48",VA
Carilion Giles Community Hospital,Speech,HCPCS 92610,Swallow Evaluation,"$11,300.62",VA
Carilion Giles Community Hospital,Speech,HCPCS 92526,Swallow Treatment,"$15,240.75",VA
Carilion Giles Community Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin","$10,839.67",VA
Carilion Giles Community Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit","$10,839.67",VA
Carilion Giles Community Hospital,Blood,HCPCS 85610,"Blood test, clotting time","$9,330.82",VA
Carilion Giles Community Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,"$2,260.65",VA
Carilion Giles Community Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated","$8,982.75",VA
Carilion Giles Community Hospital,Blood,HCPCS 85027,"Complete blood count, automated","$3,105.90",VA
Carilion Giles Community Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,"$7,031.85",VA
Carilion Giles Community Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$2,953.65",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,"$9,692.90",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82140,Ammonia level,"$15,618.22",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,"$14,112.17",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,"$13,794.55",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$8,651.65",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,"$14,096.25",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82565,Blood creatinine level,"$3,461.15",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,"$6,611.15",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)","$6,596.97",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$12,221.30",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82310,Calcium level,"$3,856.65",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,"$12,256.12",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,"$15,016.22",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,"$6,804.70",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,"$7,797.30",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,"$6,804.70",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 82746,Folic acid; serum,"$7,797.30",VA
Carilion Giles Community Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,"$8,410.15",VA
