Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Carilion New River Valley Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$10,531.41",VA
Carilion New River Valley Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$6,152.65",VA
Carilion New River Valley Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$6,139.26",VA
Carilion New River Valley Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$11,867.89",VA
Carilion New River Valley Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,377.07",VA
Carilion New River Valley Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$2,500.40",VA
Carilion New River Valley Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$485.80,VA
Carilion New River Valley Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,"$14,630.70",VA
Carilion New River Valley Medical Center,Speech,HCPCS 92507,Speech Therapy,$747.07,VA
Carilion New River Valley Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$12,851.74",VA
Carilion New River Valley Medical Center,Speech,HCPCS 92526,Swallow Treatment,"$17,670.45",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin","$11,628.22",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit","$11,628.63",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85610,"Blood test, clotting time","$6,472.29",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,"$9,902.55",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated","$10,632.65",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85027,"Complete blood count, automated","$9,067.10",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,"$14,760.55",VA
Carilion New River Valley Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,"$11,853.45",VA
Carilion New River Valley Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$8,152.20",VA
Carilion New River Valley Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,"$9,883.30",VA
