Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Retreat Doctors Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,468.00",VA
Retreat Doctors Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$128.00,VA
Retreat Doctors Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$228.00,VA
Retreat Doctors Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$530.00,VA
Retreat Doctors Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$829.00,VA
Retreat Doctors Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,171.00",VA
Retreat Doctors Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$41.25,VA
Retreat Doctors Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$75.00,VA
Retreat Doctors Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$77.50,VA
Retreat Doctors Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$168.25,VA
Retreat Doctors Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$63.50,VA
Retreat Doctors Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$123.00,VA
Retreat Doctors Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$64.00,VA
Retreat Doctors Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$133.75,VA
Retreat Doctors Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$126.75,VA
Retreat Doctors Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$87.00,VA
Retreat Doctors Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$216.50,VA
Retreat Doctors Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$63.50,VA
Retreat Doctors Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$307.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$296.25,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$324.75,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$182.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$213.75,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82140,Ammonia level,$159.25,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$115.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$180.75,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$197.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$136.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$199.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$93.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84295,Blood sodium level,$108.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$99.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$191.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82310,Calcium level,$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$59.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$236.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82465,Cholesterol level,$59.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82525,Copper level,$144.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$169.75,VA
Retreat Doctors Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$216.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$182.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$251.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$289.25,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$168.25,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$186.25,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$123.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$94.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$132.00,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$227.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$227.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$133.75,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$86.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$135.25,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$209.50,VA
Retreat Doctors Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$245.75,VA
