Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lourdes Counseling Center,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,WA
Lourdes Counseling Center,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",-,WA
Lourdes Counseling Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,WA
Lourdes Counseling Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,WA
Lourdes Counseling Center,Psychology,HCPCS 90853,Group psychotherapy,-,WA
Lourdes Counseling Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,WA
Lourdes Counseling Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,WA
Lourdes Counseling Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,WA
Lourdes Counseling Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,WA
Lourdes Counseling Center,Speech,HCPCS 92507,Speech Therapy,-,WA
Lourdes Counseling Center,Speech,HCPCS 92610,Swallow Evaluation,-,WA
Lourdes Counseling Center,Speech,HCPCS 92526,Swallow Treatment,-,WA
Lourdes Counseling Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,WA
Lourdes Counseling Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,WA
Lourdes Counseling Center,Blood,HCPCS 85610,"Blood test, clotting time",-,WA
Lourdes Counseling Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,WA
Lourdes Counseling Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82040,Albumin (protein) level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82140,Ammonia level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82565,Blood creatinine level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,WA
Lourdes Counseling Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82310,Calcium level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82525,Copper level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82533,Cortisol Measurement,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 82746,Folic acid; serum,-,WA
Lourdes Counseling Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,WA
