Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Morton General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$213.18,WA
Morton General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,850.00",WA
Morton General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$177.84,WA
Morton General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$326.04,WA
Morton General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$563.16,WA
Morton General Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$889.20,WA
Morton General Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,482.00",WA
Morton General Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$342.00,WA
Morton General Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$86.07,WA
Morton General Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$153.90,WA
Morton General Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$76.95,WA
Morton General Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$94.62,WA
Morton General Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$112.86,WA
Morton General Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$108.30,WA
Morton General Hospital,Speech,HCPCS 92507,Speech Therapy,$119.70,WA
Morton General Hospital,Speech,HCPCS 92610,Swallow Evaluation,$296.40,WA
Morton General Hospital,Speech,HCPCS 92526,Swallow Treatment,$228.00,WA
Morton General Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$34.20,WA
Morton General Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$34.20,WA
Morton General Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$30.78,WA
Morton General Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$20.52,WA
Morton General Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$37.05,WA
Morton General Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$57.57,WA
Morton General Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$58.14,WA
Morton General Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$49.02,WA
Morton General Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$34.20,WA
Morton General Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$163.59,WA
Morton General Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$261.06,WA
Morton General Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$17.10,WA
Morton General Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$85.50,WA
Morton General Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$130.53,WA
Morton General Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$31.92,WA
Morton General Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$35.91,WA
Morton General Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$86.64,WA
Morton General Hospital,Chemistry,HCPCS 82140,Ammonia level,$108.87,WA
Morton General Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$51.30,WA
Morton General Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$128.25,WA
Morton General Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$60.42,WA
Morton General Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$91.77,WA
Morton General Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$45.03,WA
Morton General Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$45.03,WA
Morton General Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$48.45,WA
Morton General Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$32.49,WA
Morton General Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$4.56,WA
Morton General Hospital,Chemistry,HCPCS 84132,Blood potassium level,$49.02,WA
Morton General Hospital,Chemistry,HCPCS 84295,Blood sodium level,$28.50,WA
Morton General Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$25.65,WA
Morton General Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$88.92,WA
Morton General Hospital,Chemistry,HCPCS 82310,Calcium level,$33.06,WA
Morton General Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$48.45,WA
Morton General Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$110.58,WA
Morton General Hospital,Chemistry,HCPCS 82465,Cholesterol level,$19.95,WA
Morton General Hospital,Chemistry,HCPCS 82525,Copper level,$79.23,WA
Morton General Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$117.99,WA
Morton General Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$85.50,WA
Morton General Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$58.14,WA
Morton General Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$88.35,WA
Morton General Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$165.30,WA
Morton General Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$89.49,WA
Morton General Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$82.08,WA
