Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Joseph Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$87.75,WA
St. Joseph Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$87.75,WA
St. Joseph Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$87.75,WA
St. Joseph Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$198.25,WA
St. Joseph Medical Center,Speech,HCPCS 92507,Speech Therapy,$148.85,WA
St. Joseph Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$246.35,WA
St. Joseph Medical Center,Speech,HCPCS 92526,Swallow Treatment,$250.90,WA
St. Joseph Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$50.05,WA
St. Joseph Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$66.30,WA
St. Joseph Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$64.35,WA
St. Joseph Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$45.50,WA
St. Joseph Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$115.05,WA
St. Joseph Medical Center,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$524.55,WA
St. Joseph Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$91.00,WA
St. Joseph Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$124.15,WA
St. Joseph Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$105.30,WA
St. Joseph Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$69.55,WA
St. Joseph Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$57.20,WA
St. Joseph Medical Center,Therapeutic Drug Assays,HCPCS 80158,Cyclosporine level,$160.55,WA
St. Joseph Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$58.50,WA
St. Joseph Medical Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$38.35,WA
St. Joseph Medical Center,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$37.70,WA
