Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Potomac Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$237.00,WV
Potomac Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$264.50,WV
Potomac Valley Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$88.50,WV
Potomac Valley Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$96.50,WV
Potomac Valley Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$136.00,WV
Potomac Valley Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$208.00,WV
Potomac Valley Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$312.50,WV
Potomac Valley Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,$198.00,WV
Potomac Valley Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$153.50,WV
Potomac Valley Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$233.00,WV
Potomac Valley Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$97.50,WV
Potomac Valley Hospital,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$47.00,WV
Potomac Valley Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$158.00,WV
Potomac Valley Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$168.00,WV
Potomac Valley Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$203.00,WV
Potomac Valley Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$69.00,WV
Potomac Valley Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$129.50,WV
Potomac Valley Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$55.00,WV
Potomac Valley Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$317.50,WV
Potomac Valley Hospital,Speech,HCPCS 92507,Speech Therapy,$137.50,WV
Potomac Valley Hospital,Speech,HCPCS 92610,Swallow Evaluation,$133.50,WV
Potomac Valley Hospital,Speech,HCPCS 92526,Swallow Treatment,$97.50,WV
Potomac Valley Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$12.00,WV
Potomac Valley Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$8.50,WV
Potomac Valley Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$17.50,WV
Potomac Valley Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$63.00,WV
Potomac Valley Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$15.00,WV
Potomac Valley Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$19.50,WV
Potomac Valley Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$20.50,WV
Potomac Valley Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$16.00,WV
Potomac Valley Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$13.50,WV
Potomac Valley Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$60.00,WV
Potomac Valley Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$85.50,WV
Potomac Valley Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$199.00,WV
Potomac Valley Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$34.50,WV
Potomac Valley Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$112.00,WV
Potomac Valley Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$12.50,WV
Potomac Valley Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$134.50,WV
Potomac Valley Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$48.50,WV
