Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Dothan,Blood,HCPCS 85610,"Blood test, clotting time",$10.50,AL
Encompass Health Rehabilitation Hospital of Dothan,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$19.50,AL
Encompass Health Rehabilitation Hospital of Dothan,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,AL
Encompass Health Rehabilitation Hospital of Dothan,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$42.75,AL
Encompass Health Rehabilitation Hospital of Dothan,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$21.75,AL
Encompass Health Rehabilitation Hospital of Dothan,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$27.00,AL
Encompass Health Rehabilitation Hospital of Dothan,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,AL
Encompass Health Rehabilitation Hospital of Dothan,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,AL
Encompass Health Rehabilitation Hospital of Dothan,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$8.25,AL
Encompass Health Rehabilitation Hospital of Dothan,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,AL
Encompass Health Rehabilitation Hospital of Dothan,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,151.25",AL
Encompass Health Rehabilitation Hospital of Dothan,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,996.50",AL
Encompass Health Rehabilitation Hospital of Dothan,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,371.00",AL
Encompass Health Rehabilitation Hospital of Dothan,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,530.00",AL
Encompass Health Rehabilitation Hospital of Dothan,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,996.50",AL
Encompass Health Rehabilitation Hospital of Dothan,MRI,HCPCS 73721,MRI scan of leg joint,"$1,530.00",AL
Encompass Health Rehabilitation Hospital of Dothan,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$167.25,AL
Encompass Health Rehabilitation Hospital of Dothan,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,AL
Encompass Health Rehabilitation Hospital of Dothan,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$147.00,AL
