Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Flowers Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$456.69,AL
Flowers Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$110.91,AL
Flowers Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$164.14,AL
Flowers Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$240.31,AL
Flowers Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$181.26,AL
Flowers Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$19.25,AL
Flowers Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$30.42,AL
Flowers Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$24.26,AL
Flowers Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$40.04,AL
Flowers Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$38.12,AL
Flowers Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$40.43,AL
Flowers Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$27.34,AL
Flowers Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$112.04,AL
Flowers Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$46.20,AL
Flowers Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$275.58,AL
Flowers Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$18.48,AL
Flowers Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$128.98,AL
Flowers Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$128.21,AL
Flowers Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$28.49,AL
Flowers Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$33.50,AL
Flowers Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$35.81,AL
Flowers Hospital,Chemistry,HCPCS 82140,Ammonia level,$61.22,AL
Flowers Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$67.38,AL
Flowers Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$48.51,AL
Flowers Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$105.49,AL
Flowers Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$37.35,AL
Flowers Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$46.20,AL
Flowers Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$35.42,AL
Flowers Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$19.64,AL
Flowers Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$33.50,AL
Flowers Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$21.56,AL
Flowers Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$45.82,AL
Flowers Hospital,Chemistry,HCPCS 82310,Calcium level,$29.65,AL
Flowers Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$28.49,AL
Flowers Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$60.06,AL
Flowers Hospital,Chemistry,HCPCS 82465,Cholesterol level,$30.80,AL
Flowers Hospital,Chemistry,HCPCS 82525,Copper level,$27.72,AL
Flowers Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$64.68,AL
Flowers Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$50.05,AL
Flowers Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$58.52,AL
Flowers Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$39.27,AL
Flowers Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$87.01,AL
Flowers Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$82.39,AL
Flowers Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$40.04,AL
Flowers Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$39.27,AL
Flowers Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$16.17,AL
Flowers Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$39.27,AL
Flowers Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$45.05,AL
Flowers Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$47.74,AL
Flowers Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$46.97,AL
Flowers Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$84.32,AL
Flowers Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$58.14,AL
Flowers Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,$72.00,AL
Flowers Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$42.35,AL
Flowers Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$38.50,AL
Flowers Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$37.35,AL
Flowers Hospital,Chemistry,HCPCS 83540,Iron level,$26.18,AL
Flowers Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$56.21,AL
Flowers Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$15.02,AL
Flowers Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$44.28,AL
Flowers Hospital,Chemistry,HCPCS 83735,Magnesium Level,$43.51,AL
Flowers Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$66.22,AL
Flowers Hospital,Chemistry,HCPCS 83945,Oxalate level,$58.14,AL
Flowers Hospital,Chemistry,HCPCS 83970,Parathormone,$100.10,AL
Flowers Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$46.20,AL
Flowers Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,$55.06,AL
Flowers Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,$54.67,AL
Flowers Hospital,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$214.06,AL
Flowers Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$36.58,AL
Flowers Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$23.10,AL
Flowers Hospital,Chemistry,HCPCS 84478,Triglycerides level,$32.34,AL
Flowers Hospital,Chemistry,HCPCS 84560,Uric acid level,$25.41,AL
Flowers Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$31.96,AL
Flowers Hospital,Chemistry,HCPCS 82340,Urine calcium level,$21.95,AL
Flowers Hospital,Chemistry,HCPCS 82436,Urine chloride level,$41.58,AL
Flowers Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$43.12,AL
Flowers Hospital,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$47.74,AL
Flowers Hospital,Chemistry,HCPCS 84133,Urine potassium level,$28.49,AL
Flowers Hospital,Chemistry,HCPCS 84300,Urine sodium level,$29.26,AL
Flowers Hospital,Chemistry,HCPCS 84630,Zinc level,$34.65,AL
Flowers Hospital,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$71.61,AL
Flowers Hospital,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$53.90,AL
Flowers Hospital,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$51.21,AL
Flowers Hospital,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$48.13,AL
Flowers Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$39.27,AL
Flowers Hospital,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$96.25,AL
Flowers Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,$40.43,AL
Flowers Hospital,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$19.64,AL
Flowers Hospital,Immunology,HCPCS 86161,Measurement of complement (immune system proteins),$32.34,AL
Flowers Hospital,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$49.67,AL
Flowers Hospital,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$62.37,AL
Flowers Hospital,Immunology,HCPCS 86431,Rheumatoid factor level,$46.20,AL
Flowers Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$175.56,AL
Flowers Hospital,Immunology,HCPCS 86592,Syphilis Detection Test,$29.65,AL
Flowers Hospital,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$100.49,AL
Flowers Hospital,Immunology,HCPCS 86359,"T cells count, total",$88.94,AL
Flowers Hospital,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$45.82,AL
Flowers Hospital,Immunology,HCPCS 86580,Tuberculosis Test,$33.11,AL
Flowers Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$54.29,AL
Flowers Hospital,Microbiology,HCPCS 87491,Chlamydia Test,$75.08,AL
Flowers Hospital,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$79.70,AL
Flowers Hospital,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$200.20,AL
Flowers Hospital,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$62.37,AL
Flowers Hospital,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",$182.11,AL
Flowers Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$75.08,AL
Flowers Hospital,Microbiology,HCPCS 87517,Hepatitis B Detection,$175.18,AL
Flowers Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$78.16,AL
