Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Noland Hospital Montgomery,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$109.23,AL
Noland Hospital Montgomery,Speech,HCPCS 92507,Speech Therapy,$222.19,AL
Noland Hospital Montgomery,Speech,HCPCS 92610,Swallow Evaluation,$248.08,AL
Noland Hospital Montgomery,Speech,HCPCS 92526,Swallow Treatment,$182.79,AL
Noland Hospital Montgomery,Blood,HCPCS 85018,"Blood count, hemoglobin",$57.54,AL
Noland Hospital Montgomery,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$57.54,AL
Noland Hospital Montgomery,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$532.04,AL
Noland Hospital Montgomery,Blood,HCPCS 85610,"Blood test, clotting time",$71.93,AL
Noland Hospital Montgomery,Blood,HCPCS 85730,Coagulation assessment blood test,$71.93,AL
Noland Hospital Montgomery,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$86.27,AL
Noland Hospital Montgomery,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$86.27,AL
Noland Hospital Montgomery,Blood,HCPCS 85027,"Complete blood count, automated",$86.27,AL
Noland Hospital Montgomery,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$65.22,AL
Noland Hospital Montgomery,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$416.98,AL
Noland Hospital Montgomery,Blood,HCPCS 85660,Red blood cell sickling measurement,$57.54,AL
Noland Hospital Montgomery,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$629.96,AL
Noland Hospital Montgomery,Blood,HCPCS 85041,"Red blood count, automated test",$57.54,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$632.67,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$373.90,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82040,Albumin (protein) level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$172.56,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82140,Ammonia level,$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82150,Amylase (enzyme) level,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$172.56,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$172.56,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84439,Assay of free thyroxine,$100.67,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$230.07,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82248,Bilirubin level (Direct),$100.67,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82247,Bilirubin level (Total),$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82565,Blood creatinine level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84295,Blood sodium level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82310,Calcium level,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$201.30,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82465,Cholesterol level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82525,Copper level,$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82533,Cortisol Measurement,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84681,C-peptide (protein) level,$186.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$532.04,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$301.97,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$589.54,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$100.67,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82746,Folic acid; serum,$100.67,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$244.45,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$115.04,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$158.17,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$186.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$186.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83020,Hemoglobin Measurement,$129.37,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$230.07,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83520,IgE (immune system protein) level,$244.45,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83525,Insulin Measurement; Total,$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82330,Ionized Calcium,$57.54,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83550,Iron Binding Capacity,$201.30,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83540,Iron level,$115.04,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83721,LDL cholesterol level,$82.16,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83735,Magnesium Level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82542,Mass spectrometry,$345.11,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$330.74,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$129.37,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83918,Organic acid level,$416.98,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83945,Oxalate level,$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83970,Parathormone,$571.38,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$488.90,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$215.71,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$115.04,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82270,Stool analysis for blood,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84403,Testosterone (hormone) level,$129.37,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84402,Testosterone Level; Free,$244.45,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84479,"Thyroid Hormone, T3 Measurement, Free",$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$733.36,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$115.04,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84155,"Total protein level, blood",$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$169.01,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84478,Triglycerides level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84166,Troponin (protein) analysis,$169.01,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84560,Uric acid level,$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84550,"Uric acid level, blood",$71.93,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82340,Urine calcium level,$86.27,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82436,Urine chloride level,$57.54,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$129.37,AL
Noland Hospital Montgomery,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$143.80,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$244.45,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84133,Urine potassium level,$57.54,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84300,Urine sodium level,$100.67,AL
Noland Hospital Montgomery,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$589.54,AL
Noland Hospital Montgomery,Chemistry,HCPCS 84630,Zinc level,$143.80,AL
Noland Hospital Montgomery,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$330.74,AL
Noland Hospital Montgomery,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$129.37,AL
Noland Hospital Montgomery,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$632.67,AL
Noland Hospital Montgomery,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$359.51,AL
Noland Hospital Montgomery,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$215.71,AL
Noland Hospital Montgomery,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$143.80,AL
Noland Hospital Montgomery,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$129.37,AL
Noland Hospital Montgomery,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$143.80,AL
Noland Hospital Montgomery,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$230.07,AL
Noland Hospital Montgomery,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$201.30,AL
Noland Hospital Montgomery,Immunology,HCPCS 86140,Measurement C-reactive protein,$71.93,AL
Noland Hospital Montgomery,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$129.37,AL
Noland Hospital Montgomery,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$143.80,AL
Noland Hospital Montgomery,Immunology,HCPCS 86161,Measurement of complement (immune system proteins),$143.80,AL
Noland Hospital Montgomery,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$287.59,AL
Noland Hospital Montgomery,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$359.51,AL
Noland Hospital Montgomery,Immunology,HCPCS 86431,Rheumatoid factor level,$86.27,AL
Noland Hospital Montgomery,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$86.27,AL
Noland Hospital Montgomery,Immunology,HCPCS 86592,Syphilis Detection Test,$57.54,AL
