Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Dardanelle Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$141.87,AR
Dardanelle Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$512.87,AR
Dardanelle Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$183.42,AR
Dardanelle Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$262.96,AR
Dardanelle Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$419.08,AR
Dardanelle Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$410.77,AR
Dardanelle Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$869.03,AR
Dardanelle Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$77.17,AR
Dardanelle Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$156.71,AR
Dardanelle Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$182.83,AR
Dardanelle Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$419.08,AR
Dardanelle Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$680.86,AR
Dardanelle Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$419.08,AR
Dardanelle Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$14.84,AR
Dardanelle Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$204.79,AR
Dardanelle Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$444.61,AR
Dardanelle Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$105.66,AR
Dardanelle Hospital,Psychology,HCPCS 90853,Group psychotherapy,$36.21,AR
Dardanelle Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$253.47,AR
Dardanelle Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$371.00,AR
Dardanelle Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$147.81,AR
Dardanelle Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$263.56,AR
Dardanelle Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$43.33,AR
Dardanelle Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$50.46,AR
Dardanelle Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$76.57,AR
Dardanelle Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$62.92,AR
Dardanelle Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$49.27,AR
Dardanelle Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$91.41,AR
Dardanelle Hospital,Chemistry,HCPCS 82465,Cholesterol level,$7.12,AR
Dardanelle Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$34.43,AR
Dardanelle Hospital,Microbiology,HCPCS 87045,Stool Culture,$68.26,AR
Dardanelle Hospital,Microbiology,HCPCS 87880,Strep Test,$47.49,AR
Dardanelle Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$332.42,AR
Dardanelle Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$562.73,AR
Dardanelle Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$158.49,AR
Dardanelle Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$47.49,AR
Dardanelle Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$227.94,AR
Dardanelle Hospital,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$204.79,AR
Dardanelle Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$98.54,AR
Dardanelle Hospital,Cardiovascular,HCPCS 93041,Heart rhythm symptom-related tracing of 24-hour EKG monitoring up to 30 days,$51.64,AR
Dardanelle Hospital,Cardiovascular,HCPCS 93010,Routine 12 Lead EKG with report,$16.03,AR
Dardanelle Hospital,Pulmonary,HCPCS 94640,Nebulizer Treatment,$110.41,AR
Dardanelle Hospital,Sleep,HCPCS 95810,Sleep study,"$1,990.93",AR
Dardanelle Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$1,578.98",AR
Dardanelle Hospital,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,$942.64,AR
Dardanelle Hospital,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,435.24",AR
Dardanelle Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material","$1,446.60",AR
Dardanelle Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$3,583.56",AR
Dardanelle Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$3,048.55",AR
Dardanelle Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,"$2,707.41",AR
Dardanelle Hospital,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,"$1,955.32",AR
Dardanelle Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,"$1,220.44",AR
Dardanelle Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material","$1,542.77",AR
Dardanelle Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material","$1,380.71",AR
