Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Abrazo Central Campus,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$25,495.77",AZ
Abrazo Central Campus,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$28,219.25",AZ
Abrazo Central Campus,Emergency Care,HCPCS 99281,Emergency Level 1,$460.94,AZ
Abrazo Central Campus,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,052.69",AZ
Abrazo Central Campus,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,209.59",AZ
Abrazo Central Campus,Emergency Care,HCPCS 99284,Emergency Level 4,"$8,126.66",AZ
Abrazo Central Campus,Emergency Care,HCPCS 99285,Emergency Level 5,"$14,598.75",AZ
Abrazo Central Campus,Hospital,HCPCS 99218,Hospital Observation per Hour,"$22,271.95",AZ
Abrazo Central Campus,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$18,905.25",AZ
Abrazo Central Campus,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$2,328.60",AZ
Abrazo Central Campus,Speech,HCPCS 92610,Swallow Evaluation,"$32,958.41",AZ
Abrazo Central Campus,Blood,HCPCS 85018,"Blood count, hemoglobin",$61.40,AZ
Abrazo Central Campus,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$71.66,AZ
Abrazo Central Campus,Blood,HCPCS 85610,"Blood test, clotting time",$190.34,AZ
Abrazo Central Campus,Blood,HCPCS 85730,Coagulation assessment blood test,$297.61,AZ
Abrazo Central Campus,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$276.76,AZ
Abrazo Central Campus,Blood,HCPCS 85027,"Complete blood count, automated",$202.19,AZ
Abrazo Central Campus,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$105.75,AZ
Abrazo Central Campus,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$28,580.42",AZ
Abrazo Central Campus,Chemistry,HCPCS 82140,Ammonia level,$200.19,AZ
Abrazo Central Campus,Chemistry,HCPCS 82150,Amylase (enzyme) level,$262.75,AZ
Abrazo Central Campus,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$366.34,AZ
Abrazo Central Campus,Chemistry,HCPCS 84439,Assay of free thyroxine,$258.15,AZ
Abrazo Central Campus,Chemistry,HCPCS 82565,Blood creatinine level,$170.12,AZ
Abrazo Central Campus,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$98.22,AZ
Abrazo Central Campus,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$311.36,AZ
Abrazo Central Campus,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$263.24,AZ
Abrazo Central Campus,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$271.49,AZ
