Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Carondelet St. Joseph Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$17,238.61",AZ
Carondelet St. Joseph Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$20,009.85",AZ
Carondelet St. Joseph Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$752.54,AZ
Carondelet St. Joseph Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,746.39",AZ
Carondelet St. Joseph Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$8,590.67",AZ
Carondelet St. Joseph Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$16,753.88",AZ
Carondelet St. Joseph Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,849.88",AZ
Carondelet St. Joseph Hospital,Speech,HCPCS 92507,Speech Therapy,"$4,583.00",AZ
Carondelet St. Joseph Hospital,Speech,HCPCS 92610,Swallow Evaluation,"$22,693.49",AZ
Carondelet St. Joseph Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$104.73,AZ
Carondelet St. Joseph Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$105.35,AZ
Carondelet St. Joseph Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$134.88,AZ
Carondelet St. Joseph Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$160.81,AZ
Carondelet St. Joseph Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$221.47,AZ
Carondelet St. Joseph Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$128.33,AZ
Carondelet St. Joseph Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$13,560.89",AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$907.44,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$141.21,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$169.32,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$84.99,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 84295,Blood sodium level,$140.02,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$167.80,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$255.23,AZ
Carondelet St. Joseph Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$199.70,AZ
