Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Havasu Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$316.27,AZ
Havasu Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$518.43,AZ
Havasu Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$808.65,AZ
Havasu Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,127.21",AZ
Havasu Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,685.46",AZ
Havasu Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$611.09,AZ
Havasu Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$803.29,AZ
Havasu Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$474.78,AZ
Havasu Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$447.97,AZ
Havasu Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$350.73,AZ
Havasu Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$503.88,AZ
Havasu Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$321.62,AZ
Havasu Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$82.70,AZ
Havasu Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$98.02,AZ
Havasu Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$225.14,AZ
Havasu Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$395.90,AZ
Havasu Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$121.00,AZ
Havasu Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$172.29,AZ
Havasu Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$183.79,AZ
Havasu Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$144.73,AZ
Havasu Regional Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$120.33,AZ
Havasu Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$101.84,AZ
Havasu Regional Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$332.35,AZ
Havasu Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$143.20,AZ
Havasu Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$366.81,AZ
Havasu Regional Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$74.28,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$496.99,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$211.35,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$240.46,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$244.28,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$294.82,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$231.26,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$211.35,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$683.83,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$223.61,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$207.53,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$181.48,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$197.57,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$180.72,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$178.42,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$163.11,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$192.98,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$349.19,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$180.72,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$121.76,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$378.29,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$259.60,AZ
Havasu Regional Medical Center,Chemistry,HCPCS 82525,Copper level,$141.67,AZ
