Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Alameda Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA
Alameda Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$27.00,CA
Alameda Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,662.50",CA
Alameda Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,793.50",CA
Alameda Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$72.50,CA
Alameda Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$232.00,CA
Alameda Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$232.00,CA
Alameda Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$27.00,CA
Alameda Hospital,Psychology,HCPCS 90853,Group psychotherapy,$572.00,CA
Alameda Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$91.00,CA
Alameda Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$159.50,CA
Alameda Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$221.50,CA
Alameda Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$211.50,CA
Alameda Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$442.50,CA
Alameda Hospital,Speech,HCPCS 92507,Speech Therapy,$262.00,CA
Alameda Hospital,Speech,HCPCS 92610,Swallow Evaluation,$426.00,CA
Alameda Hospital,Speech,HCPCS 92526,Swallow Treatment,$278.00,CA
Alameda Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$35.50,CA
Alameda Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$36.50,CA
