Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Alvarado Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA
Alvarado Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$783.38,CA
Alvarado Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$81.81,CA
Alvarado Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA
Alvarado Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$262.44,CA
Alvarado Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$413.38,CA
Alvarado Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$592.84,CA
Alvarado Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$136.23,CA
Alvarado Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$136.23,CA
Alvarado Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$136.23,CA
Alvarado Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$154.36,CA
Alvarado Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$154.36,CA
Alvarado Hospital,Psychology,HCPCS 90853,Group psychotherapy,$92.29,CA
Alvarado Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$154.36,CA
Alvarado Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$154.36,CA
Alvarado Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$154.36,CA
Alvarado Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$154.36,CA
Alvarado Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$211.61,CA
Alvarado Hospital,Speech,HCPCS 92507,Speech Therapy,$86.22,CA
Alvarado Hospital,Speech,HCPCS 92610,Swallow Evaluation,$78.69,CA
Alvarado Hospital,Speech,HCPCS 92526,Swallow Treatment,$95.45,CA
Alvarado Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.37,CA
Alvarado Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$2.37,CA
Alvarado Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$4.75,CA
Alvarado Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$12.87,CA
Alvarado Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$4.29,CA
Alvarado Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$6.01,CA
Alvarado Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$3.94,CA
Alvarado Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.77,CA
Alvarado Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$6.47,CA
