Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Barlow Respiratory Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$289.55,CA
Barlow Respiratory Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$428.90,CA
Barlow Respiratory Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$232.10,CA
Barlow Respiratory Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$884.05,CA
Barlow Respiratory Hospital,Speech,HCPCS 92507,Speech Therapy,$270.70,CA
Barlow Respiratory Hospital,Speech,HCPCS 92610,Swallow Evaluation,$884.05,CA
Barlow Respiratory Hospital,Speech,HCPCS 92526,Swallow Treatment,$270.70,CA
Barlow Respiratory Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$166.60,CA
Barlow Respiratory Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$166.60,CA
Barlow Respiratory Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$187.10,CA
Barlow Respiratory Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$160.00,CA
Barlow Respiratory Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$113.70,CA
Barlow Respiratory Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$277.30,CA
Barlow Respiratory Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$15.70,CA
Barlow Respiratory Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$16.10,CA
Barlow Respiratory Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$10.15,CA
Barlow Respiratory Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$38.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$65.05,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$70.25,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$175.60,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$18.65,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$29.85,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82140,Ammonia level,$25.60,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$44.80,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$16.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$1,070.05",CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$23.10,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$21.00,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$71.50,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$166.60,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$174.00,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$174.75,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$18.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84295,Blood sodium level,$133.75,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$4.65,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$164.10,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$14.30,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82310,Calcium level,$57.35,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$100.95,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$15.75,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82465,Cholesterol level,$4.65,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82525,Copper level,$17.30,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$17.50,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$34.35,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$70.25,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$10.05,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$74.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$15.20,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$10.05,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$13.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$9.25,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$9.55,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$16.40,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$18.35,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$19.55,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$6.55,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$150.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$14.80,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,$8.05,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$19.90,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$9.20,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83540,Iron level,$6.25,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$264.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$11.10,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$9.45,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$178.10,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$16.40,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$25.10,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83735,Magnesium Level,$196.85,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$391.75,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$118.00,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83945,Oxalate level,$25.95,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83970,Parathormone,$47.15,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$16.70,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$90.30,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$21.70,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$13.35,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 82270,Stool analysis for blood,$41.05,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,$24.65,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,$62.70,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84479,"Thyroid Hormone, T3 Measurement, Free",$6.55,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$308.70,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$6.55,CA
Barlow Respiratory Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$160.85,CA
