Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$81.81,CA
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,CA
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$413.38,CA
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$592.84,CA
Glendora Oaks Behavioral Health Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,-,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$154.36,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$154.36,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90853,Group psychotherapy,$92.29,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$154.36,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$154.36,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$154.36,CA
Glendora Oaks Behavioral Health Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$154.36,CA
Glendora Oaks Behavioral Health Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,CA
Glendora Oaks Behavioral Health Hospital,Speech,HCPCS 92507,Speech Therapy,-,CA
Glendora Oaks Behavioral Health Hospital,Speech,HCPCS 92610,Swallow Evaluation,$76.72,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.37,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$2.37,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$12.87,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$4.29,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$6.01,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$3.94,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.77,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$6.47,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$3.80,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$13.84,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$5.51,CA
Glendora Oaks Behavioral Health Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$3.02,CA
Glendora Oaks Behavioral Health Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$47.63,CA
Glendora Oaks Behavioral Health Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$8.46,CA
Glendora Oaks Behavioral Health Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$10.56,CA
Glendora Oaks Behavioral Health Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$13.39,CA
Glendora Oaks Behavioral Health Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$8.68,CA
Glendora Oaks Behavioral Health Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$8.17,CA
Glendora Oaks Behavioral Health Hospital,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$58.13,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80299,Cortisol (hormone) measurement,$18.64,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80158,Cyclosporine level,$18.05,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$13.28,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$62.14,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$6.61,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$15.30,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$13.25,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,$13.73,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$13.54,CA
Glendora Oaks Behavioral Health Hospital,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$13.54,CA
Glendora Oaks Behavioral Health Hospital,Transfusion,HCPCS 86900,"Blood Typing, ABO",$128.12,CA
Glendora Oaks Behavioral Health Hospital,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$39.28,CA
Glendora Oaks Behavioral Health Hospital,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$168.62,CA
Glendora Oaks Behavioral Health Hospital,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$39.28,CA
Glendora Oaks Behavioral Health Hospital,Transfusion,HCPCS 86906,Screening test for compatible blood unit,$39.28,CA
