Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA
San Antonio Regional Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$329.50,CA
San Antonio Regional Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$570.50,CA
San Antonio Regional Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$997.50,CA
San Antonio Regional Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,543.00",CA
San Antonio Regional Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,255.50",CA
San Antonio Regional Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$98.00,CA
San Antonio Regional Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$181.50,CA
San Antonio Regional Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$218.00,CA
San Antonio Regional Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$151.50,CA
San Antonio Regional Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$164.50,CA
San Antonio Regional Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$181.00,CA
San Antonio Regional Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$245.00,CA
San Antonio Regional Hospital,Speech,HCPCS 92507,Speech Therapy,$245.00,CA
San Antonio Regional Hospital,Speech,HCPCS 92610,Swallow Evaluation,$210.00,CA
San Antonio Regional Hospital,Speech,HCPCS 92526,Swallow Treatment,$245.00,CA
San Antonio Regional Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$182.00,CA
San Antonio Regional Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$182.00,CA
San Antonio Regional Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$182.00,CA
San Antonio Regional Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$182.00,CA
