Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Southern California Hospital at Van Nuys,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,009.61",CA
Southern California Hospital at Van Nuys,Emergency Care,HCPCS 99281,Emergency Level 1,"$4,018.72",CA
Southern California Hospital at Van Nuys,Emergency Care,HCPCS 99282,Emergency Level 2,"$4,018.72",CA
Southern California Hospital at Van Nuys,Emergency Care,HCPCS 99283,Emergency Level 3,"$4,018.72",CA
Southern California Hospital at Van Nuys,Emergency Care,HCPCS 99284,Emergency Level 4,"$4,018.72",CA
Southern California Hospital at Van Nuys,Emergency Care,HCPCS 99285,Emergency Level 5,"$4,018.72",CA
Southern California Hospital at Van Nuys,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,995.48",CA
Southern California Hospital at Van Nuys,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,995.48",CA
Southern California Hospital at Van Nuys,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,995.48",CA
Southern California Hospital at Van Nuys,Psychology,HCPCS 90853,Group psychotherapy,$292.24,CA
Southern California Hospital at Van Nuys,Speech,HCPCS 92610,Swallow Evaluation,$763.00,CA
Southern California Hospital at Van Nuys,Speech,HCPCS 92526,Swallow Treatment,$548.00,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85018,"Blood count, hemoglobin",$90.00,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$67.00,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85610,"Blood test, clotting time",$226.73,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85730,Coagulation assessment blood test,$270.08,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$305.91,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85027,"Complete blood count, automated",$305.91,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$94.00,CA
Southern California Hospital at Van Nuys,Blood,HCPCS 85660,Red blood cell sickling measurement,$3.70,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$14.43,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82140,Ammonia level,$230.55,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82150,Amylase (enzyme) level,$235.18,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$564.83,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 84439,Assay of free thyroxine,$202.06,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82248,Bilirubin level (Direct),$172.95,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82565,Blood creatinine level,$144.67,CA
Southern California Hospital at Van Nuys,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$108.84,CA
