Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lutheran Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.79,CO
Lutheran Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,298.38",CO
Lutheran Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$149.87,CO
Lutheran Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$337.02,CO
Lutheran Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$709.25,CO
Lutheran Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,169.13",CO
Lutheran Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,840.49",CO
Lutheran Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$149.28,CO
Lutheran Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,$109.92,CO
Lutheran Medical Center,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",$43.68,CO
Lutheran Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$123.20,CO
Lutheran Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$134.37,CO
Lutheran Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$111.99,CO
Lutheran Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$171.84,CO
Lutheran Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$98.11,CO
Lutheran Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$240.15,CO
Lutheran Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$69.05,CO
Lutheran Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$150.67,CO
Lutheran Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$352.04,CO
Lutheran Medical Center,Speech,HCPCS 92507,Speech Therapy,$139.41,CO
Lutheran Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$129.27,CO
Lutheran Medical Center,Speech,HCPCS 92526,Swallow Treatment,$152.70,CO
Lutheran Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$35.70,CO
Lutheran Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$24.10,CO
Lutheran Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$73.60,CO
Lutheran Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$23.83,CO
Lutheran Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$53.64,CO
Lutheran Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$42.99,CO
Lutheran Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$12.06,CO
Lutheran Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$85.84,CO
Lutheran Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$56.31,CO
Lutheran Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$32.55,CO
Lutheran Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$31.61,CO
Lutheran Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$226.94,CO
Lutheran Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$42.85,CO
Lutheran Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$296.07,CO
Lutheran Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$22.03,CO
