Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Mercy Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,837.32",CO
Mercy Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,064.39",CO
Mercy Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,064.39",CO
Mercy Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,064.39",CO
Mercy Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,064.39",CO
Mercy Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,064.39",CO
Mercy Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$159.64,CO
Mercy Regional Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$159.64,CO
Mercy Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$159.64,CO
Mercy Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$159.64,CO
Mercy Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$159.64,CO
Mercy Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$159.64,CO
Mercy Regional Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$114.64,CO
Mercy Regional Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$114.64,CO
Mercy Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$57.27,CO
Mercy Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$89.32,CO
Mercy Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$106.12,CO
Mercy Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$74.77,CO
Mercy Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$10.16,CO
Mercy Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$10.13,CO
Mercy Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$31.82,CO
Mercy Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$31.82,CO
Mercy Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$17.55,CO
Mercy Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$27.64,CO
Mercy Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$29.85,CO
Mercy Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$29.85,CO
Mercy Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$16.11,CO
Mercy Regional Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$38.46,CO
Mercy Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$25.85,CO
Mercy Regional Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$18.38,CO
Mercy Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$24.68,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$26.65,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$24.73,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$36.06,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$155.75,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$63.85,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$30.08,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$18.79,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$82.46,CO
Mercy Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$34.78,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$31.23,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$12.87,CO
Mercy Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$12.87,CO
