Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Saint Joseph Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$285.60,CO
Saint Joseph Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,298.38",CO
Saint Joseph Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$149.87,CO
Saint Joseph Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$337.02,CO
Saint Joseph Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$709.25,CO
Saint Joseph Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,169.13",CO
Saint Joseph Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,840.49",CO
Saint Joseph Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,$147.00,CO
Saint Joseph Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$149.28,CO
Saint Joseph Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$185.88,CO
Saint Joseph Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$109.92,CO
Saint Joseph Hospital,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",$43.68,CO
Saint Joseph Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$123.20,CO
Saint Joseph Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$134.37,CO
Saint Joseph Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$111.99,CO
Saint Joseph Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$106.80,CO
Saint Joseph Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$171.84,CO
Saint Joseph Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$308.95,CO
Saint Joseph Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$352.04,CO
Saint Joseph Hospital,Speech,HCPCS 92507,Speech Therapy,$139.41,CO
Saint Joseph Hospital,Speech,HCPCS 92610,Swallow Evaluation,$129.27,CO
Saint Joseph Hospital,Speech,HCPCS 92526,Swallow Treatment,$152.70,CO
Saint Joseph Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$26.07,CO
Saint Joseph Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$26.07,CO
Saint Joseph Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$80.16,CO
Saint Joseph Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$130.74,CO
Saint Joseph Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$76.17,CO
Saint Joseph Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$14.78,CO
Saint Joseph Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$61.16,CO
Saint Joseph Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$70.64,CO
Saint Joseph Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$70.64,CO
Saint Joseph Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,$32.33,CO
Saint Joseph Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$45.07,CO
Saint Joseph Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$220.86,CO
