Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
George Washington Univ Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$495.28,DC
George Washington Univ Hospital,Speech,HCPCS 92507,Speech Therapy,$285.02,DC
George Washington Univ Hospital,Speech,HCPCS 92610,Swallow Evaluation,$515.53,DC
George Washington Univ Hospital,Speech,HCPCS 92526,Swallow Treatment,$263.30,DC
George Washington Univ Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$58.10,DC
George Washington Univ Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$33.99,DC
George Washington Univ Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$48.64,DC
George Washington Univ Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$63.65,DC
George Washington Univ Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$67.75,DC
George Washington Univ Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$64.40,DC
George Washington Univ Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$191.25,DC
George Washington Univ Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$1,197.75",DC
George Washington Univ Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$5.13,DC
George Washington Univ Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$66.95,DC
George Washington Univ Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$212.60,DC
George Washington Univ Hospital,Chemistry,HCPCS 82140,Ammonia level,$107.47,DC
George Washington Univ Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$91.04,DC
George Washington Univ Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$126.48,DC
George Washington Univ Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$185.74,DC
George Washington Univ Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$204.26,DC
George Washington Univ Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$95.88,DC
George Washington Univ Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$92.80,DC
