Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
AdventHealth Palm Coast,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$823.44,FL
AdventHealth Palm Coast,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,866.64",FL
AdventHealth Palm Coast,Emergency Care,HCPCS 99281,Emergency Level 1,$160.66,FL
AdventHealth Palm Coast,Emergency Care,HCPCS 99282,Emergency Level 2,$268.74,FL
AdventHealth Palm Coast,Emergency Care,HCPCS 99283,Emergency Level 3,$527.28,FL
AdventHealth Palm Coast,Emergency Care,HCPCS 99284,Emergency Level 4,$800.40,FL
AdventHealth Palm Coast,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,334.97",FL
AdventHealth Palm Coast,Hospital,HCPCS 99234,Hospital observation care discharge,$138.00,FL
AdventHealth Palm Coast,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$139.00,FL
AdventHealth Palm Coast,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$173.00,FL
AdventHealth Palm Coast,Hospital,HCPCS 99218,Hospital Observation per Hour,$103.00,FL
AdventHealth Palm Coast,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$41.00,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$135.00,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$156.00,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$167.00,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$211.00,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$109.00,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$266.74,FL
AdventHealth Palm Coast,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$187.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$107.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$103.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90853,Group psychotherapy,$28.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$144.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$71.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$94.00,FL
AdventHealth Palm Coast,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$140.00,FL
AdventHealth Palm Coast,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$164.98,FL
AdventHealth Palm Coast,Speech,HCPCS 92507,Speech Therapy,$119.32,FL
AdventHealth Palm Coast,Speech,HCPCS 92610,Swallow Evaluation,$260.56,FL
AdventHealth Palm Coast,Speech,HCPCS 92526,Swallow Treatment,$164.18,FL
AdventHealth Palm Coast,Blood,HCPCS 85018,"Blood count, hemoglobin",$42.16,FL
AdventHealth Palm Coast,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$32.25,FL
AdventHealth Palm Coast,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$132.12,FL
AdventHealth Palm Coast,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$114.17,FL
AdventHealth Palm Coast,Blood,HCPCS 85610,"Blood test, clotting time",$50.09,FL
AdventHealth Palm Coast,Blood,HCPCS 85730,Coagulation assessment blood test,$77.26,FL
AdventHealth Palm Coast,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$148.51,FL
AdventHealth Palm Coast,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$101.01,FL
AdventHealth Palm Coast,Blood,HCPCS 85027,"Complete blood count, automated",$70.60,FL
AdventHealth Palm Coast,Blood,HCPCS 85008,Microscopic examination for white blood cells,$4.00,FL
AdventHealth Palm Coast,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$14.69,FL
AdventHealth Palm Coast,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$35.65,FL
AdventHealth Palm Coast,Blood,HCPCS 85660,Red blood cell sickling measurement,$60.80,FL
AdventHealth Palm Coast,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$285.07,FL
AdventHealth Palm Coast,Blood,HCPCS 85041,"Red blood count, automated test",$0.71,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$16.81,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$43.00,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82040,Albumin (protein) level,$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$18.28,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$17.07,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82140,Ammonia level,$148.76,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82150,Amylase (enzyme) level,$94.65,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$10.80,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$111.31,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84439,Assay of free thyroxine,$19.08,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$7.86,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82248,Bilirubin level (Direct),$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82247,Bilirubin level (Total),$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82565,Blood creatinine level,$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$25.24,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$6.00,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84132,Blood potassium level,$27.03,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84295,Blood sodium level,$25.99,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$70.74,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82310,Calcium level,$28.53,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$84.26,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82465,Cholesterol level,$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82525,Copper level,$6.29,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82533,Cortisol Measurement,$111.76,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84681,C-peptide (protein) level,$5.61,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$24.96,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$68.66,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$16.10,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$18.90,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$58.94,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82746,Folic acid; serum,$68.66,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$4.95,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$30.18,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$55.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$4.68,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$134.20,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$6.29,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83718,HDL cholesterol level,$110.27,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83020,Hemoglobin Measurement,$14.03,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$54.51,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$31.00,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$53.07,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83525,Insulin Measurement; Total,$6.29,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82330,Ionized Calcium,$6.29,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83550,Iron Binding Capacity,$75.62,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83540,Iron level,$43.68,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$30.18,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83721,LDL cholesterol level,$75.62,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$108.20,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$21.87,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$102.99,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83021,Liver function blood test panel,$16.84,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83735,Magnesium Level,$78.02,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82542,Mass spectrometry,$105.29,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$21.26,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$10.50,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83918,Organic acid level,$95.91,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83945,Oxalate level,$11.77,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83970,Parathormone,$223.27,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$6.19,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84157,Prealbumin (protein) level,$29.13,FL
AdventHealth Palm Coast,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$85.64,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$140.44,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$14.03,FL
AdventHealth Palm Coast,Chemistry,HCPCS A9270,Selenium (vitamin) level,$84.00,FL
AdventHealth Palm Coast,Chemistry,HCPCS 82270,Stool analysis for blood,$45.76,FL
AdventHealth Palm Coast,Chemistry,HCPCS 84403,Testosterone (hormone) level,$23.00,FL
