Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Brandon Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$3,249.00",FL
Brandon Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,399.00",FL
Brandon Regional Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,488.00",FL
Brandon Regional Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,334.00",FL
Brandon Regional Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,175.00",FL
Brandon Regional Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,855.00",FL
Brandon Regional Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$4,427.00",FL
Brandon Regional Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$443.00,FL
Brandon Regional Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,906.00",FL
Brandon Regional Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$422.00,FL
Brandon Regional Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$205.00,FL
Brandon Regional Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$522.00,FL
Brandon Regional Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,"$1,025.00",FL
Brandon Regional Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$2,355.00",FL
Brandon Regional Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$71.00,FL
Brandon Regional Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$71.00,FL
Brandon Regional Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$65.40,FL
Brandon Regional Hospital,Blood,HCPCS 85027,"Complete blood count, automated","$1,085.00",FL
Brandon Regional Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$449.00,FL
Brandon Regional Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$16.35,FL
Brandon Regional Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$4.51,FL
Brandon Regional Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$277.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$32.70,FL
Brandon Regional Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$14.17,FL
Brandon Regional Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$332.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$6.54,FL
Brandon Regional Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$41.15,FL
Brandon Regional Hospital,Chemistry,HCPCS 82140,Ammonia level,"$1,259.00",FL
Brandon Regional Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,"$1,443.00",FL
Brandon Regional Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$40.33,FL
Brandon Regional Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$577.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$10.79,FL
Brandon Regional Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$9.55,FL
Brandon Regional Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$690.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),"$1,055.00",FL
Brandon Regional Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$542.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$682.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84295,Blood sodium level,$768.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$735.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$591.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$1,427.00",FL
Brandon Regional Hospital,Chemistry,HCPCS 82310,Calcium level,$665.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$620.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$34.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82465,Cholesterol level,$799.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 82525,Copper level,$7.63,FL
Brandon Regional Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$5.00,FL
Brandon Regional Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$10.90,FL
Brandon Regional Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,"$1,041.00",FL
Brandon Regional Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$4.00,FL
