Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Broward Health Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,037.00",FL
Broward Health Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,398.00",FL
Broward Health Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$385.00,FL
Broward Health Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$479.00,FL
Broward Health Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$707.00,FL
Broward Health Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$920.00,FL
Broward Health Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,123.00",FL
Broward Health Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$97.70,FL
Broward Health Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$102.84,FL
Broward Health Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$92.81,FL
Broward Health Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$87.00,FL
Broward Health Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$116.00,FL
Broward Health Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$491.00,FL
Broward Health Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$491.00,FL
Broward Health Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$491.00,FL
Broward Health Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$423.00,FL
Broward Health Medical Center,Speech,HCPCS 92507,Speech Therapy,$189.00,FL
Broward Health Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$286.00,FL
Broward Health Medical Center,Speech,HCPCS 92526,Swallow Treatment,$93.00,FL
Broward Health Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$29.00,FL
