Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Capital Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,168.00",FL
Capital Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,522.50",FL
Capital Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,127.50",FL
Capital Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,567.25",FL
Capital Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,316.50",FL
Capital Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,353.75",FL
Capital Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,575.25",FL
Capital Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$490.75,FL
Capital Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$661.50,FL
Capital Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$850.25,FL
Capital Regional Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$496.25,FL
Capital Regional Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$278.25,FL
Capital Regional Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$496.25,FL
Capital Regional Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$429.75,FL
Capital Regional Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$496.25,FL
Capital Regional Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$496.25,FL
Capital Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$271.50,FL
Capital Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$97.25,FL
Capital Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$200.50,FL
Capital Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$194.75,FL
Capital Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$265.75,FL
Capital Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$389.50,FL
Capital Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$419.50,FL
Capital Regional Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$15.00,FL
Capital Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$222.25,FL
Capital Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$328.75,FL
Capital Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$24.44,FL
Capital Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$5.75,FL
Capital Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$240.25,FL
