Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$239.44,FL
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,001.27",FL
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$613.77,FL
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$691.27,FL
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$768.77,FL
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$846.27,FL
Cleveland Clinic Indian River Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$923.77,FL
Cleveland Clinic Indian River Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$281.40,FL
Cleveland Clinic Indian River Hospital,Speech,HCPCS 92507,Speech Therapy,$162.20,FL
Cleveland Clinic Indian River Hospital,Speech,HCPCS 92610,Swallow Evaluation,$121.08,FL
Cleveland Clinic Indian River Hospital,Speech,HCPCS 92526,Swallow Treatment,$188.92,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$6.68,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$6.68,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$10.02,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$29.23,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$16.70,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$42.08,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$56.25,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$29.23,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$19.21,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,$16.70,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$10.02,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$116.28,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$14.20,FL
Cleveland Clinic Indian River Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$345.69,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$83.50,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$70.98,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$13.36,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$162.47,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$42.59,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82140,Ammonia level,$53.23,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$8.44,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$152.35,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$54.28,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$225.04,FL
Cleveland Clinic Indian River Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$23.38,FL
