Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,962.00",FL
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$6,390.00",FL
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,301.00",FL
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,404.00",FL
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,295.00",FL
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,556.00",FL
Doctors Hospital Of Sarasota,Emergency Care,HCPCS 99285,Emergency Level 5,"$5,079.00",FL
Doctors Hospital Of Sarasota,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$891.00,FL
Doctors Hospital Of Sarasota,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,041.00",FL
Doctors Hospital Of Sarasota,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$862.00,FL
Doctors Hospital Of Sarasota,Psychology,HCPCS 90853,Group psychotherapy,$479.00,FL
Doctors Hospital Of Sarasota,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$578.00,FL
Doctors Hospital Of Sarasota,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$325.00,FL
Doctors Hospital Of Sarasota,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$431.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85018,"Blood count, hemoglobin",$354.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$306.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$486.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$1,036.00",FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85610,"Blood test, clotting time",$549.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85730,Coagulation assessment blood test,$650.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$68.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85027,"Complete blood count, automated",$493.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85008,Microscopic examination for white blood cells,$290.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$381.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$22.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS 85660,Red blood cell sickling measurement,$12.00,FL
Doctors Hospital Of Sarasota,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$912.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$34.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$21.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82040,Albumin (protein) level,$468.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$247.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$30.42,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82140,Ammonia level,$826.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82150,Amylase (enzyme) level,$854.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$34.30,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$893.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 84439,Assay of free thyroxine,$93.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$247.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82248,Bilirubin level (Direct),$623.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82247,Bilirubin level (Total),$628.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82565,Blood creatinine level,$576.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$608.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 84295,Blood sodium level,$252.00,FL
Doctors Hospital Of Sarasota,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$496.00,FL
