Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Blood,HCPCS 85610,"Blood test, clotting time",$10.91,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$21.58,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Blood,HCPCS 85027,"Complete blood count, automated",$17.96,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$46.69,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$23.49,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$29.34,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$41.00,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$24.19,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$25.00,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$7.83,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.89,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$8.82,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$813.00,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,419.75",FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,011.00",FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,074.75",FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,419.75",FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$195.75,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,FL
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$191.25,FL
