Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Fawcett Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$13,594.93",FL
Fawcett Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,700.07",FL
Fawcett Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,380.79",FL
Fawcett Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$5,261.83",FL
Fawcett Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,062.35",FL
Fawcett Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$9,724.04",FL
Fawcett Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$411.54,FL
Fawcett Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$472.63,FL
Fawcett Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$289.37,FL
Fawcett Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$515.72,FL
Fawcett Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$437.12,FL
Fawcett Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,"$1,144.12",FL
Fawcett Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$749.53,FL
Fawcett Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$874.96,FL
Fawcett Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,"$1,349.06",FL
Fawcett Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,"$1,299.73",FL
Fawcett Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$35.83,FL
Fawcett Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$310.82,FL
Fawcett Memorial Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$9.49,FL
Fawcett Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$3.37,FL
Fawcett Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$232.34,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$29.32,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$5.75,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$338.12,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$7.26,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$347.88,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,$700.14,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,"$1,249.99",FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$34.30,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$2,297.45",FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$372.25,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$83.29,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$706.97,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$19.90,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$293.70,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$618.17,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84295,Blood sodium level,$495.22,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$549.86,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$539.60,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$1,116.80",FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82310,Calcium level,$485.00,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$597.69,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$97.65,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82465,Cholesterol level,$10.00,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82525,Copper level,$5.00,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$338.36,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$98.83,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,"$1,267.09",FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$313.07,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$4.89,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$9.77,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$281.44,FL
Fawcett Memorial Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$303.57,FL
