Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Good Samaritan Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$35,323.46",FL
Good Samaritan Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$32,164.44",FL
Good Samaritan Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,552.56",FL
Good Samaritan Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$11,528.84",FL
Good Samaritan Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$22,734.83",FL
Good Samaritan Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,"$27,850.22",FL
Good Samaritan Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$610.19,FL
Good Samaritan Hospital,Speech,HCPCS 92507,Speech Therapy,"$2,817.25",FL
Good Samaritan Hospital,Speech,HCPCS 92610,Swallow Evaluation,"$14,439.22",FL
Good Samaritan Hospital,Speech,HCPCS 92526,Swallow Treatment,"$1,151.72",FL
Good Samaritan Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$134.21,FL
Good Samaritan Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$119.51,FL
Good Samaritan Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$149.75,FL
Good Samaritan Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$556.79,FL
Good Samaritan Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$455.24,FL
Good Samaritan Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$283.70,FL
Good Samaritan Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$214.66,FL
Good Samaritan Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$8,019.77",FL
Good Samaritan Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$269.93,FL
Good Samaritan Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$102.69,FL
Good Samaritan Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$156.20,FL
Good Samaritan Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$233.87,FL
Good Samaritan Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$265.70,FL
Good Samaritan Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$224.18,FL
Good Samaritan Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$329.97,FL
Good Samaritan Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$231.89,FL
Good Samaritan Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$563.60,FL
Good Samaritan Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$155.88,FL
Good Samaritan Hospital,Chemistry,HCPCS 83540,Iron level,$159.76,FL
Good Samaritan Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$337.94,FL
Good Samaritan Hospital,Chemistry,HCPCS 83735,Magnesium Level,$236.96,FL
Good Samaritan Hospital,Chemistry,HCPCS 82270,Stool analysis for blood,$76.11,FL
Good Samaritan Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$124.88,FL
Good Samaritan Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$206.09,FL
Good Samaritan Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$387.87,FL
Good Samaritan Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,$222.62,FL
Good Samaritan Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$446.51,FL
Good Samaritan Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$115.76,FL
Good Samaritan Hospital,Microbiology,HCPCS 87491,Chlamydia Test,$100.28,FL
Good Samaritan Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$100.28,FL
Good Samaritan Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$613.37,FL
Good Samaritan Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$871.39,FL
Good Samaritan Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$381.78,FL
Good Samaritan Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$626.18,FL
Good Samaritan Hospital,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$246.26,FL
Good Samaritan Hospital,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,"$3,206.42",FL
Good Samaritan Hospital,Transfusion,HCPCS 86900,"Blood Typing, ABO",$132.41,FL
Good Samaritan Hospital,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$162.35,FL
Good Samaritan Hospital,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$380.04,FL
Good Samaritan Hospital,Transfusion,HCPCS 86945,"Irradiation blood product, each unit",$223.60,FL
Good Samaritan Hospital,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$86.57,FL
Good Samaritan Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$297.11,FL
Good Samaritan Hospital,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$691.07,FL
Good Samaritan Hospital,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report","$12,712.30",FL
Good Samaritan Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report","$32,141.41",FL
Good Samaritan Hospital,Pulmonary,HCPCS 94640,Nebulizer Treatment,"$47,391.11",FL
Good Samaritan Hospital,Sleep,HCPCS 95810,Sleep study,"$7,693.08",FL
Good Samaritan Hospital,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),$317.14,FL
Good Samaritan Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$505.25,FL
Good Samaritan Hospital,Breast,HCPCS 77067,Mammogram Screening,$787.39,FL
Good Samaritan Hospital,Breast,HCPCS 77066,Mammography of both breasts,$614.49,FL
Good Samaritan Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$6,437.42",FL
Good Samaritan Hospital,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$3,524.17",FL
Good Samaritan Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material","$5,223.02",FL
Good Samaritan Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$6,956.88",FL
Good Samaritan Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$9,027.11",FL
Good Samaritan Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,"$7,551.63",FL
Good Samaritan Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material","$5,889.92",FL
Good Samaritan Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material","$3,995.43",FL
Good Samaritan Hospital,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$7,205.25",FL
Good Samaritan Hospital,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)","$6,477.20",FL
Good Samaritan Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$5,300.60",FL
Good Samaritan Hospital,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,"$6,745.28",FL
Good Samaritan Hospital,MRI,HCPCS 72141,MRI neck spine without contrast material,"$9,247.97",FL
