Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Hialeah Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$28,147.55",FL
Hialeah Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$26,289.44",FL
Hialeah Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,079.71",FL
Hialeah Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,382.34",FL
Hialeah Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$11,839.25",FL
Hialeah Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$23,506.41",FL
Hialeah Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,"$35,286.79",FL
Hialeah Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$2,568.19",FL
Hialeah Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$5,395.50",FL
Hialeah Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,656.33",FL
Hialeah Hospital,Speech,HCPCS 92610,Swallow Evaluation,"$38,501.21",FL
Hialeah Hospital,Speech,HCPCS 92526,Swallow Treatment,"$38,860.43",FL
Hialeah Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$100.35,FL
Hialeah Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$293.59,FL
Hialeah Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$264.60,FL
Hialeah Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$684.35,FL
Hialeah Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$417.06,FL
Hialeah Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$83.90,FL
Hialeah Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$8,366.31",FL
Hialeah Hospital,Chemistry,HCPCS 82140,Ammonia level,$222.65,FL
Hialeah Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$454.80,FL
Hialeah Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$547.31,FL
Hialeah Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$27.65,FL
Hialeah Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$146.26,FL
Hialeah Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$178.50,FL
Hialeah Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$197.10,FL
Hialeah Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$279.86,FL
Hialeah Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$192.44,FL
Hialeah Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$144.74,FL
Hialeah Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$145.73,FL
Hialeah Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$151.95,FL
Hialeah Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$76.66,FL
Hialeah Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$214.15,FL
Hialeah Hospital,Chemistry,HCPCS 83540,Iron level,$203.83,FL
Hialeah Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$171.35,FL
