Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Highlands Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$998.00,FL
Highlands Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,426.00",FL
Highlands Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$470.00,FL
Highlands Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$931.00,FL
Highlands Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,628.00",FL
Highlands Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,170.00",FL
Highlands Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,834.00",FL
Highlands Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,077.00",FL
Highlands Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,355.00",FL
Highlands Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$800.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$136.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$143.00,FL
Highlands Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$701.00,FL
Highlands Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$924.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$165.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$193.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$968.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$310.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$21.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$42.00,FL
Highlands Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$764.00,FL
Highlands Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$653.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$80.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$10.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$24.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$30.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$623.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$681.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$9.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$995.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$497.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$28.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$187.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$160.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$797.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$483.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$423.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$489.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82525,Copper level,$8.06,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$461.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$83.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$396.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$14.14,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$12.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$563.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$496.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$17.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$515.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$510.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$12.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$19.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$24.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$456.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$20.20,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$11.90,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$14.43,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$30.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$45.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$44.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$564.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83540,Iron level,$2.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$320.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$613.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$524.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83021,Liver function blood test panel,$12.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$361.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$319.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$30.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$24.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83918,Organic acid level,$142.96,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83945,Oxalate level,$235.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83970,Parathormone,$501.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$5.05,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$556.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$35.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$21.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$345.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$231.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$9.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$5.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$475.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$160.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$589.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$108.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$252.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,$529.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84560,Uric acid level,$29.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$447.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82340,Urine calcium level,$140.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82436,Urine chloride level,$48.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$175.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$564.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$16.96,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84133,Urine potassium level,$140.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$356.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84591,Vitamin B-6 level,$15.95,FL
Highlands Regional Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$9.00,FL
Highlands Regional Medical Center,Chemistry,HCPCS 84630,Zinc level,$9.24,FL
Highlands Regional Medical Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$6.50,FL
Highlands Regional Medical Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$308.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$19.19,FL
Highlands Regional Medical Center,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$3.33,FL
Highlands Regional Medical Center,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,"$1,228.00",FL
Highlands Regional Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$28.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$48.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$25.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$12.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$36.36,FL
Highlands Regional Medical Center,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$660.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$221.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$75.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86161,Measurement of Complement (Immune System Proteins),$15.30,FL
Highlands Regional Medical Center,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$21.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$27.82,FL
Highlands Regional Medical Center,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,$801.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$575.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86592,Syphilis Detection Test,$443.00,FL
Highlands Regional Medical Center,Immunology,HCPCS 86361,T cell count and ratio,$13.64,FL
Highlands Regional Medical Center,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$9.52,FL
Highlands Regional Medical Center,Immunology,HCPCS 86359,"T cells count, total",$30.16,FL
Highlands Regional Medical Center,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$91.00,FL
Highlands Regional Medical Center,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$64.00,FL
Highlands Regional Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$885.00,FL
Highlands Regional Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$444.00,FL
