Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lehigh Regional,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,FL
Lehigh Regional,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$646.42,FL
Lehigh Regional,Emergency Care,HCPCS 99281,Emergency Level 1,$67.51,FL
Lehigh Regional,Emergency Care,HCPCS 99282,Emergency Level 2,$124.08,FL
Lehigh Regional,Emergency Care,HCPCS 99283,Emergency Level 3,$216.56,FL
Lehigh Regional,Emergency Care,HCPCS 99284,Emergency Level 4,$341.11,FL
Lehigh Regional,Emergency Care,HCPCS 99285,Emergency Level 5,$489.19,FL
Lehigh Regional,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$112.41,FL
Lehigh Regional,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$112.41,FL
Lehigh Regional,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$112.41,FL
Lehigh Regional,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$127.37,FL
Lehigh Regional,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$127.37,FL
Lehigh Regional,Psychology,HCPCS 90853,Group psychotherapy,$76.16,FL
Lehigh Regional,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$127.37,FL
Lehigh Regional,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$127.37,FL
Lehigh Regional,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$127.37,FL
Lehigh Regional,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$127.37,FL
Lehigh Regional,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$195.41,FL
Lehigh Regional,Speech,HCPCS 92507,Speech Therapy,$80.16,FL
Lehigh Regional,Speech,HCPCS 92610,Swallow Evaluation,$74.18,FL
Lehigh Regional,Speech,HCPCS 92526,Swallow Treatment,$88.09,FL
Lehigh Regional,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.37,FL
Lehigh Regional,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$2.37,FL
Lehigh Regional,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$4.75,FL
Lehigh Regional,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$12.87,FL
Lehigh Regional,Blood,HCPCS 85610,"Blood test, clotting time",$4.29,FL
Lehigh Regional,Blood,HCPCS 85730,Coagulation assessment blood test,$6.01,FL
Lehigh Regional,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$3.94,FL
Lehigh Regional,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.77,FL
Lehigh Regional,Blood,HCPCS 85027,"Complete blood count, automated",$6.47,FL
Lehigh Regional,Blood,HCPCS 85008,Microscopic examination for white blood cells,$3.43,FL
Lehigh Regional,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$3.80,FL
