Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,707.00",FL
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,584.00",FL
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,527.00",FL
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,396.00",FL
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,258.00",FL
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,992.00",FL
Memorial Hospital Of Tampa,Emergency Care,HCPCS 99285,Emergency Level 5,"$4,584.00",FL
Memorial Hospital Of Tampa,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,839.00",FL
Memorial Hospital Of Tampa,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$2,685.00",FL
Memorial Hospital Of Tampa,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,327.00",FL
Memorial Hospital Of Tampa,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$504.00,FL
Memorial Hospital Of Tampa,Psychology,HCPCS 90853,Group psychotherapy,$558.00,FL
Memorial Hospital Of Tampa,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$377.00,FL
Memorial Hospital Of Tampa,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$504.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85018,"Blood count, hemoglobin",$203.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$523.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$118.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$316.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85610,"Blood test, clotting time",$810.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85730,Coagulation assessment blood test,$888.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85027,"Complete blood count, automated","$1,085.00",FL
Memorial Hospital Of Tampa,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$448.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$15.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS 85660,Red blood cell sickling measurement,$4.00,FL
Memorial Hospital Of Tampa,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$1,170.00",FL
Memorial Hospital Of Tampa,Blood,HCPCS 85041,"Red blood count, automated test",$75.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$29.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$13.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82040,Albumin (protein) level,$17.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$8.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$248.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82140,Ammonia level,"$1,261.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82150,Amylase (enzyme) level,"$1,448.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$4.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$421.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84439,Assay of free thyroxine,"$1,055.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$11.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82248,Bilirubin level (Direct),$689.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82247,Bilirubin level (Total),$124.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82565,Blood creatinine level,$76.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$683.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84295,Blood sodium level,$771.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$735.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$592.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$1,429.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82310,Calcium level,$666.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$122.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$280.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82465,Cholesterol level,$800.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82525,Copper level,$7.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82533,Cortisol Measurement,$18.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84681,C-peptide (protein) level,$9.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,"$1,042.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$224.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$324.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$12.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82728,Ferritin (blood protein) level,"$1,113.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82746,Folic acid; serum,$216.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$138.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,"$1,227.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$144.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$274.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$274.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$9.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83718,HDL cholesterol level,$202.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83020,Hemoglobin Measurement,$4.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$251.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$48.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83525,Insulin Measurement; Total,$4.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82330,Ionized Calcium,$337.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83550,Iron Binding Capacity,$683.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83540,Iron level,$527.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$969.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,"$1,314.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level","$1,229.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$210.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83021,Liver function blood test panel,$257.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83735,Magnesium Level,$152.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82542,Mass spectrometry,$34.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$61.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$165.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83918,Organic acid level,$24.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83945,Oxalate level,$188.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83970,Parathormone,$610.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$2.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84157,Prealbumin (protein) level,"$1,011.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$103.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$288.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$159.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82270,Stool analysis for blood,$496.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84403,Testosterone (hormone) level,$8.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84402,Testosterone Level; Free,$4.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$96.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$29.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,"$1,297.00",FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84155,"Total protein level, blood",$977.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$437.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84166,Troponin (protein) analysis,$266.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84560,Uric acid level,$118.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84550,"Uric acid level, blood",$800.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82340,Urine calcium level,$150.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82436,Urine chloride level,$48.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$4.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$842.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$10.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84133,Urine potassium level,$835.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84300,Urine sodium level,$71.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$38.00,FL
Memorial Hospital Of Tampa,Chemistry,HCPCS 84630,Zinc level,$29.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$104.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$176.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$213.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$197.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$217.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$352.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$202.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$3.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$159.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$9.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$45.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86140,Measurement C-reactive protein,$251.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$117.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$6.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$15.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,$181.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),"$1,221.00",FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86592,Syphilis Detection Test,$883.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86361,T cell count and ratio,$62.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$27.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86359,"T cells count, total",$858.00,FL
Memorial Hospital Of Tampa,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$234.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$127.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$198.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$969.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87491,Chlamydia Test,$79.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87635,Covid-19 current infection test,$61.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$679.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),"$3,074.00",FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$85.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,"$1,609.00",FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",$89.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$79.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87517,Hepatitis B Detection,$87.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87230,Microbial toxin or antitoxin assay,$485.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 86735,Mumps virus antibody test,$194.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 86747,Parvovirus antibody test,$224.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 86762,Rubella virus antibody test,$213.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 86765,Rubeola virus antibody test,$3.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87207,Smear for infectious agents,$89.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87177,Smear for Parasites,$131.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$81.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87045,Stool Culture,"$1,180.00",FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 87880,Strep Test,$842.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$5.00,FL
Memorial Hospital Of Tampa,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$5.00,FL
Memorial Hospital Of Tampa,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,$73.00,FL
Memorial Hospital Of Tampa,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$41.00,FL
Memorial Hospital Of Tampa,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,"$1,410.00",FL
Memorial Hospital Of Tampa,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals","$2,321.00",FL
Memorial Hospital Of Tampa,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)","$1,633.00",FL
Memorial Hospital Of Tampa,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,"$2,337.00",FL
Memorial Hospital Of Tampa,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$908.00,FL
