Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Northside Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$388.85,FL
Northside Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$8,621.36",FL
Northside Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,210.99",FL
Northside Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,426.12",FL
Northside Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,162.41",FL
Northside Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,423.90",FL
Northside Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,865.78",FL
Northside Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$403.20,FL
Northside Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$320.32,FL
Northside Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$187.93,FL
Northside Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$187.93,FL
Northside Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$817.66,FL
Northside Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$2,370.54",FL
Northside Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$662.70,FL
Northside Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$662.70,FL
Northside Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$79.94,FL
Northside Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$37.37,FL
Northside Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$668.19,FL
Northside Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$14.00,FL
Northside Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$20.47,FL
Northside Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$727.65,FL
Northside Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$24.00,FL
Northside Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$5.75,FL
Northside Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$271.45,FL
Northside Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$6.60,FL
Northside Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$129.68,FL
Northside Hospital,Chemistry,HCPCS 82140,Ammonia level,"$1,590.25",FL
Northside Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$137.38,FL
Northside Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$37.40,FL
Northside Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$1,347.37",FL
Northside Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$35.20,FL
Northside Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$11.00,FL
Northside Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$691.27,FL
Northside Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$20.00,FL
Northside Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$271.45,FL
Northside Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$774.80,FL
Northside Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$137.38,FL
Northside Hospital,Chemistry,HCPCS 84295,Blood sodium level,$637.42,FL
Northside Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$798.97,FL
Northside Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$685.78,FL
Northside Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$2,176.02",FL
Northside Hospital,Chemistry,HCPCS 82310,Calcium level,$265.96,FL
Northside Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$359.37,FL
Northside Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,"$1,800.16",FL
Northside Hospital,Chemistry,HCPCS 82465,Cholesterol level,$11.00,FL
Northside Hospital,Chemistry,HCPCS 82525,Copper level,$5.00,FL
Northside Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$897.88,FL
Northside Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$13.66,FL
Northside Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$354.98,FL
Northside Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$922.06,FL
Northside Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$16.39,FL
Northside Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$10.00,FL
Northside Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$419.82,FL
Northside Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$922.06,FL
Northside Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$18.70,FL
Northside Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,"$1,139.66",FL
Northside Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$58.25,FL
Northside Hospital,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$5.50,FL
Northside Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$4.40,FL
Northside Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$5.17,FL
Northside Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$622.03,FL
Northside Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$17.33,FL
Northside Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,"$1,024.27",FL
Northside Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$17.60,FL
Northside Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$39.60,FL
Northside Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$4.55,FL
Northside Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$774.80,FL
Northside Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$453.89,FL
Northside Hospital,Chemistry,HCPCS 83540,Iron level,$103.40,FL
Northside Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$557.19,FL
Northside Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,"$1,205.60",FL
Northside Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level","$1,292.42",FL
Northside Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$4.95,FL
Northside Hospital,Chemistry,HCPCS 83735,Magnesium Level,$803.37,FL
Northside Hospital,Chemistry,HCPCS 82542,Mass spectrometry,$11.00,FL
Northside Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$63.80,FL
Northside Hospital,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$18.88,FL
Northside Hospital,Chemistry,HCPCS 83918,Organic acid level,$145.20,FL
Northside Hospital,Chemistry,HCPCS 83945,Oxalate level,$13.20,FL
Northside Hospital,Chemistry,HCPCS 83970,Parathormone,$730.84,FL
Northside Hospital,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$14.42,FL
Northside Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,$925.36,FL
Northside Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$65.00,FL
Northside Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$4.40,FL
Northside Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$7.70,FL
Northside Hospital,Chemistry,HCPCS 82270,Stool analysis for blood,$18.68,FL
Northside Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,$5.82,FL
Northside Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,$38.50,FL
Northside Hospital,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$2.20,FL
Northside Hospital,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$41.80,FL
Northside Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$470.37,FL
Northside Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$159.36,FL
Northside Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$397.84,FL
Northside Hospital,Chemistry,HCPCS 84166,Troponin (protein) analysis,$29.70,FL
Northside Hospital,Chemistry,HCPCS 84560,Uric acid level,$4.05,FL
Northside Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$849.53,FL
Northside Hospital,Chemistry,HCPCS 82340,Urine calcium level,$4.96,FL
Northside Hospital,Chemistry,HCPCS 82436,Urine chloride level,$573.68,FL
Northside Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$7.70,FL
Northside Hospital,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,"$1,027.57",FL
Northside Hospital,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$5.70,FL
Northside Hospital,Chemistry,HCPCS 84133,Urine potassium level,$573.68,FL
Northside Hospital,Chemistry,HCPCS 84300,Urine sodium level,$573.68,FL
Northside Hospital,Chemistry,HCPCS 84591,Vitamin B-6 level,$62.70,FL
Northside Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$61.60,FL
Northside Hospital,Chemistry,HCPCS 84630,Zinc level,$4.40,FL
Northside Hospital,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$30.80,FL
Northside Hospital,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$26.00,FL
Northside Hospital,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$18.79,FL
Northside Hospital,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$16.50,FL
Northside Hospital,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,"$1,024.27",FL
Northside Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$20.88,FL
Northside Hospital,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$7.70,FL
Northside Hospital,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$4.40,FL
Northside Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$27.50,FL
Northside Hospital,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$28.88,FL
Northside Hospital,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$11.00,FL
Northside Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,"$1,024.27",FL
Northside Hospital,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$4.40,FL
Northside Hospital,Immunology,HCPCS 86161,Measurement of Complement (Immune System Proteins),$20.90,FL
Northside Hospital,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$10.99,FL
Northside Hospital,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$28.94,FL
Northside Hospital,Immunology,HCPCS 86431,Rheumatoid factor level,$979.21,FL
