Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Physicians Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,095.50",FL
Physicians Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$222.95,FL
Physicians Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$249.90,FL
Physicians Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$376.25,FL
Physicians Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$300.30,FL
Physicians Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$28.70,FL
Physicians Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$28.70,FL
Physicians Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$42.00,FL
Physicians Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$180.95,FL
Physicians Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$69.30,FL
Physicians Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$85.40,FL
Physicians Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$23.45,FL
Physicians Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$44.10,FL
Physicians Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$251.65,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$37.45,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$93.45,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$99.40,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$62.30,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$44.80,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$48.30,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$25.90,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$26.25,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$60.20,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$28.35,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$23.45,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$101.85,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$28.70,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$65.10,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$64.40,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$69.65,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$74.20,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$69.30,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$65.80,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$53.90,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$31.85,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$28.70,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$52.85,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$42.70,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83540,Iron level,$28.00,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$76.65,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$37.80,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$74.20,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$38.85,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83970,Parathormone,$123.90,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$44.10,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$54.95,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$25.55,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84478,Triglycerides level,$25.90,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84560,Uric acid level,$64.75,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$26.25,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82340,Urine calcium level,$60.90,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82436,Urine chloride level,$26.60,FL
Physicians Regional Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$21.70,FL
Physicians Regional Medical Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$46.20,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84133,Urine potassium level,$50.05,FL
Physicians Regional Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$53.90,FL
Physicians Regional Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$19.60,FL
Physicians Regional Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$84.35,FL
Physicians Regional Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$95.20,FL
Physicians Regional Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,$41.65,FL
Physicians Regional Medical Center,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$15.05,FL
Physicians Regional Medical Center,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$46.90,FL
Physicians Regional Medical Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$41.30,FL
Physicians Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$75.25,FL
Physicians Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$43.05,FL
Physicians Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$47.60,FL
Physicians Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$208.95,FL
Physicians Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$112.70,FL
Physicians Regional Medical Center,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$278.60,FL
Physicians Regional Medical Center,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$68.60,FL
Physicians Regional Medical Center,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$57.75,FL
Physicians Regional Medical Center,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$83.30,FL
Physicians Regional Medical Center,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$114.45,FL
Physicians Regional Medical Center,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$110.95,FL
Physicians Regional Medical Center,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$137.55,FL
Physicians Regional Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$37.45,FL
Physicians Regional Medical Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$39.55,FL
Physicians Regional Medical Center,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$67.90,FL
Physicians Regional Medical Center,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$45.85,FL
Physicians Regional Medical Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$129.50,FL
Physicians Regional Medical Center,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$121.80,FL
Physicians Regional Medical Center,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,$864.85,FL
Physicians Regional Medical Center,Pulmonary,HCPCS 94640,Nebulizer Treatment,$149.45,FL
