Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St Marys Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$39,902.58",FL
St Marys Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$29,290.97",FL
St Marys Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,556.25",FL
St Marys Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$8,516.61",FL
St Marys Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$17,637.73",FL
St Marys Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$19,207.09",FL
St Marys Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$2,125.99",FL
St Marys Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,"$1,644.72",FL
St Marys Medical Center,Speech,HCPCS 92507,Speech Therapy,"$1,770.14",FL
St Marys Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,170.81",FL
St Marys Medical Center,Speech,HCPCS 92526,Swallow Treatment,"$5,641.94",FL
St Marys Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$164.88,FL
St Marys Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$108.19,FL
St Marys Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$143.78,FL
St Marys Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$172.78,FL
St Marys Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$360.61,FL
St Marys Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$293.45,FL
St Marys Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$228.14,FL
St Marys Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$12,228.33",FL
St Marys Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$382.33,FL
St Marys Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$174.70,FL
St Marys Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$224.99,FL
St Marys Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$156.60,FL
St Marys Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$182.69,FL
St Marys Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$241.57,FL
St Marys Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$189.77,FL
St Marys Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$184.61,FL
St Marys Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$354.25,FL
St Marys Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$231.56,FL
St Marys Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$364.07,FL
St Marys Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$148.81,FL
St Marys Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$170.31,FL
St Marys Medical Center,Chemistry,HCPCS 83540,Iron level,$170.41,FL
St Marys Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$127.00,FL
St Marys Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$402.08,FL
St Marys Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$214.53,FL
St Marys Medical Center,Chemistry,HCPCS 83970,Parathormone,$318.83,FL
St Marys Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$57.23,FL
St Marys Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$152.09,FL
St Marys Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$235.37,FL
St Marys Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$316.58,FL
St Marys Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$427.12,FL
St Marys Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$194.63,FL
St Marys Medical Center,Immunology,HCPCS 86592,Syphilis Detection Test,$184.30,FL
St Marys Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$495.29,FL
St Marys Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$147.98,FL
St Marys Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,$366.96,FL
St Marys Medical Center,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$326.99,FL
St Marys Medical Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$304.54,FL
St Marys Medical Center,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$57.52,FL
St Marys Medical Center,Microbiology,HCPCS 87045,Stool Culture,$522.75,FL
St Marys Medical Center,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,"$1,295.82",FL
St Marys Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$704.87,FL
St Marys Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$833.60,FL
St Marys Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$349.93,FL
St Marys Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$408.40,FL
St Marys Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$363.23,FL
St Marys Medical Center,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,"$1,282.75",FL
St Marys Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$134.48,FL
St Marys Medical Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$158.53,FL
St Marys Medical Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$253.41,FL
St Marys Medical Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$134.46,FL
