Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Lucie Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,777.00",FL
St. Lucie Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,895.00",FL
St. Lucie Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$669.00,FL
St. Lucie Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,104.00",FL
St. Lucie Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,584.00",FL
St. Lucie Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,517.00",FL
St. Lucie Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,729.00",FL
St. Lucie Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,651.00",FL
St. Lucie Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,810.00",FL
St. Lucie Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,321.00",FL
St. Lucie Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$512.00,FL
St. Lucie Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$512.00,FL
St. Lucie Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$286.00,FL
St. Lucie Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$286.00,FL
St. Lucie Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$512.00,FL
St. Lucie Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$512.00,FL
St. Lucie Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$476.00,FL
St. Lucie Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$476.00,FL
St. Lucie Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$669.00,FL
St. Lucie Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$1,139.00",FL
St. Lucie Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$492.00,FL
St. Lucie Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$664.00,FL
St. Lucie Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$924.00,FL
St. Lucie Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$522.00,FL
St. Lucie Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$55.00,FL
St. Lucie Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$41.00,FL
St. Lucie Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$4.00,FL
St. Lucie Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$795.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$84.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$16.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$409.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$23.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$29.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82140,Ammonia level,$753.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$693.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$13.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$81.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$617.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$27.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$623.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$623.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$437.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$523.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$465.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$639.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$409.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$1,155.00",FL
St. Lucie Medical Center,Chemistry,HCPCS 82310,Calcium level,$573.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$461.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$561.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$588.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82525,Copper level,$8.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$440.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$79.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$640.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$505.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$14.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$21.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$700.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$505.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$16.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$617.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$27.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$12.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$18.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$23.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$321.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$20.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$282.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$21.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$15.75,FL
St. Lucie Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$100.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$27.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$602.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83540,Iron level,$522.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$561.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$664.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$669.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$500.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83021,Liver function blood test panel,$12.53,FL
St. Lucie Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$580.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$303.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$29.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$23.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83918,Organic acid level,$139.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83945,Oxalate level,$225.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83970,Parathormone,$63.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$5.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$531.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$20.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$19.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$329.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$6.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$8.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$225.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$152.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$500.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$531.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine","$1,213.00",FL
St. Lucie Medical Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,$505.00,FL
St. Lucie Medical Center,Chemistry,HCPCS 84560,Uric acid level,$548.00,FL
