Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
West Boca Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$20,275.90",FL
West Boca Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$15,908.09",FL
West Boca Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$10,646.95",FL
West Boca Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$19,376.30",FL
West Boca Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$23,792.59",FL
West Boca Medical Center,Speech,HCPCS 92507,Speech Therapy,"$2,807.44",FL
West Boca Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$13,175.67",FL
West Boca Medical Center,Speech,HCPCS 92526,Swallow Treatment,"$1,505.36",FL
West Boca Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$63.29,FL
West Boca Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$72.47,FL
West Boca Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$186.62,FL
West Boca Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$198.10,FL
West Boca Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$208.29,FL
West Boca Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$376.79,FL
West Boca Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$107.81,FL
West Boca Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$3,480.98",FL
West Boca Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$376.70,FL
West Boca Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$614.80,FL
West Boca Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$445.97,FL
West Boca Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$116.20,FL
West Boca Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$340.41,FL
West Boca Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$248.03,FL
West Boca Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$336.77,FL
West Boca Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,"$1,235.90",FL
West Boca Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$336.46,FL
West Boca Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$267.80,FL
West Boca Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$516.08,FL
West Boca Medical Center,Chemistry,HCPCS 83540,Iron level,$241.69,FL
West Boca Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$183.90,FL
West Boca Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$332.56,FL
West Boca Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$311.06,FL
West Boca Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$234.19,FL
West Boca Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$185.63,FL
West Boca Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$172.75,FL
West Boca Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$247.71,FL
West Boca Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$251.21,FL
West Boca Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$249.00,FL
West Boca Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$292.50,FL
West Boca Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$560.22,FL
West Boca Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$545.12,FL
West Boca Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,$6.56,FL
West Boca Medical Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$6.67,FL
West Boca Medical Center,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$78.18,FL
West Boca Medical Center,Microbiology,HCPCS 87045,Stool Culture,$354.75,FL
West Boca Medical Center,Microbiology,HCPCS 87880,Streptoccus,$357.66,FL
West Boca Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$471.79,FL
West Boca Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$896.81,FL
West Boca Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$469.10,FL
West Boca Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$248.12,FL
West Boca Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$654.68,FL
West Boca Medical Center,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$197.12,FL
West Boca Medical Center,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,"$3,336.81",FL
West Boca Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$116.21,FL
West Boca Medical Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$135.94,FL
West Boca Medical Center,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$425.99,FL
West Boca Medical Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$216.23,FL
West Boca Medical Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$224.00,FL
West Boca Medical Center,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$115.50,FL
West Boca Medical Center,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report","$26,446.04",FL
West Boca Medical Center,Pulmonary,HCPCS 94640,Nebulizer Treatment,"$41,152.11",FL
West Boca Medical Center,Sleep,HCPCS 95810,Sleep study,"$6,590.72",FL
West Boca Medical Center,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),$221.48,FL
West Boca Medical Center,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$292.88,FL
West Boca Medical Center,Breast,HCPCS 77067,Mammogram Screening,$426.12,FL
West Boca Medical Center,Breast,HCPCS 77066,Mammography of both breasts,$562.22,FL
West Boca Medical Center,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$3,937.45",FL
West Boca Medical Center,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$4,171.35",FL
West Boca Medical Center,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material","$3,534.51",FL
West Boca Medical Center,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$6,788.90",FL
