Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Burke Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$200.00,GA
Burke Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$380.00,GA
Burke Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$720.00,GA
Burke Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,000.00",GA
Burke Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,280.00",GA
Burke Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$308.00,GA
Burke Medical Center,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$382.00,GA
Burke Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,$240.00,GA
Burke Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$160.00,GA
Burke Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$200.00,GA
Burke Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$140.00,GA
Burke Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$162.00,GA
Burke Medical Center,Speech,HCPCS 92507,Speech Therapy,$171.00,GA
Burke Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$162.00,GA
Burke Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$16.00,GA
Burke Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$16.00,GA
Burke Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$27.00,GA
Burke Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$41.00,GA
Burke Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$53.00,GA
Burke Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$44.00,GA
Burke Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$23.00,GA
Burke Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$44.00,GA
Burke Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$61.00,GA
Burke Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$34.00,GA
Burke Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$34.00,GA
Burke Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$35.00,GA
Burke Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$27.00,GA
Burke Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$14.00,GA
Burke Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$33.00,GA
Burke Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$31.00,GA
Burke Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$114.00,GA
Burke Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$44.00,GA
Burke Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$102.00,GA
Burke Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$93.00,GA
Burke Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$100.00,GA
Burke Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$66.00,GA
Burke Medical Center,Chemistry,HCPCS 83540,Iron level,$44.00,GA
Burke Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$41.00,GA
Burke Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$47.00,GA
Burke Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$46.00,GA
Burke Medical Center,Chemistry,HCPCS 83970,Parathormone,$281.00,GA
Burke Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$22.00,GA
