Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Cobb Hospital And Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,GA
Cobb Hospital And Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,GA
Cobb Hospital And Medical Center,Psychology,HCPCS 90853,Group psychotherapy,-,GA
Cobb Hospital And Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,GA
Cobb Hospital And Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,GA
Cobb Hospital And Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,GA
Cobb Hospital And Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,GA
Cobb Hospital And Medical Center,Speech,HCPCS 92507,Speech Therapy,-,GA
Cobb Hospital And Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,GA
Cobb Hospital And Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,GA
Cobb Hospital And Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,GA
Cobb Hospital And Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,GA
Cobb Hospital And Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,GA
Cobb Hospital And Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82310,Calcium level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 83540,Iron level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 83735,Magnesium Level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82436,Urine chloride level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 84133,Urine potassium level,-,GA
Cobb Hospital And Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,GA
Cobb Hospital And Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,-,GA
Cobb Hospital And Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,-,GA
Cobb Hospital And Medical Center,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,-,GA
Cobb Hospital And Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 86735,Mumps virus antibody test,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 86765,Rubeola virus antibody test,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 86780,Treponema pallidum antibody test,-,GA
Cobb Hospital And Medical Center,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,-,GA
Cobb Hospital And Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,GA
Cobb Hospital And Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,GA
Cobb Hospital And Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,GA
Cobb Hospital And Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,GA
Cobb Hospital And Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,-,GA
Cobb Hospital And Medical Center,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,-,GA
Cobb Hospital And Medical Center,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,-,GA
Cobb Hospital And Medical Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",-,GA
Cobb Hospital And Medical Center,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",-,GA
Cobb Hospital And Medical Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,GA
Cobb Hospital And Medical Center,Urinalysis,HCPCS 81025,Urine Pregnancy Test,-,GA
Cobb Hospital And Medical Center,Cardiovascular,HCPCS 93015,"Cardiovascular stress test, with interpretation and report",-,GA
Cobb Hospital And Medical Center,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,GA
Cobb Hospital And Medical Center,Pulmonary,HCPCS 94640,Nebulizer Treatment,-,GA
Cobb Hospital And Medical Center,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,GA
Cobb Hospital And Medical Center,Breast,HCPCS 77066,Mammography of both breasts,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",-,GA
Cobb Hospital And Medical Center,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,GA
Cobb Hospital And Medical Center,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 72146,MRI chest spine without contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 72141,MRI neck spine without contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 72156,MRI neck spine without & with contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 70553,MRI scan of brain before and after contrast,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,-,GA
Cobb Hospital And Medical Center,MRI,HCPCS 73721,MRI scan of leg joint,-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76857,Ultrasound of pelvis,-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",-,GA
Cobb Hospital And Medical Center,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",-,GA
Cobb Hospital And Medical Center,Chest,HCPCS 71111,"X-ray of Both Sides of Ribs, Including Chest, Minimum of 4 Views",-,GA
Cobb Hospital And Medical Center,Chest,HCPCS 71046,X-ray of chest; 2 Views,-,GA
Cobb Hospital And Medical Center,Chest,HCPCS 71045,X-ray of chest; Single View,-,GA
Cobb Hospital And Medical Center,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",-,GA
Cobb Hospital And Medical Center,Head and Neck,HCPCS 70150,"X-ray of bones of face, minimum of 3 views",-,GA
Cobb Hospital And Medical Center,Head and Neck,HCPCS 70160,"X-ray of bones of nose, minimum of 3 views",-,GA
Cobb Hospital And Medical Center,Head and Neck,HCPCS 70360,X-ray of neck soft tissue,-,GA
Cobb Hospital And Medical Center,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",-,GA
Cobb Hospital And Medical Center,Hip and Pelvis,HCPCS 72170,"X-ray Pelvis, 1-2 Views",-,GA
Cobb Hospital And Medical Center,Hip and Pelvis,HCPCS 72202,"X-ray Sacroiliac Joints, 3 or More Views",-,GA
