Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,402.78",GA
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,164.44",GA
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99281,Emergency Level 1,$445.56,GA
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99282,Emergency Level 2,$780.32,GA
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,245.72",GA
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,799.76",GA
Doctors Hospital Of Augusta,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,228.99",GA
Doctors Hospital Of Augusta,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,109.97",GA
Doctors Hospital Of Augusta,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,666.06",GA
Doctors Hospital Of Augusta,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$554.99,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85018,"Blood count, hemoglobin",$273.13,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$53.95,GA
Doctors Hospital Of Augusta,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,"$1,001.50",GA
Doctors Hospital Of Augusta,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$1,476.96",GA
Doctors Hospital Of Augusta,Blood,HCPCS 85610,"Blood test, clotting time",$258.53,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85730,Coagulation assessment blood test,$402.40,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$336.08,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85027,"Complete blood count, automated",$449.61,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85008,Microscopic examination for white blood cells,$258.53,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$168.61,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$915.74,GA
Doctors Hospital Of Augusta,Blood,HCPCS 85660,Red blood cell sickling measurement,$240.54,GA
Doctors Hospital Of Augusta,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$883.58,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$934.86,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,"$2,540.79",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82040,Albumin (protein) level,$349.57,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$574.96,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum","$1,026.23",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82140,Ammonia level,$735.11,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82150,Amylase (enzyme) level,$463.09,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$900.45,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$857.62,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84439,Assay of free thyroxine,$535.03,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$502.33,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82248,Bilirubin level (Direct),$361.94,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82247,Bilirubin level (Total),$436.12,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82565,Blood creatinine level,$257.40,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$196.70,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84295,Blood sodium level,$220.31,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$379.92,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$128.14,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$689.02,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82310,Calcium level,$239.42,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$156.24,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$798.06,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82465,Cholesterol level,$448.48,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82525,Copper level,"$1,106.55",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82533,Cortisol Measurement,$826.15,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84681,C-peptide (protein) level,$391.16,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$458.60,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$404.65,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,"$1,521.53",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level","$1,050.24",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$492.32,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82746,Folic acid; serum,$372.05,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$443.98,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$433.88,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$337.21,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level","$1,330.84",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,"$1,050.95",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$650.80,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83718,HDL cholesterol level,$320.35,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83020,Hemoglobin Measurement,$640.69,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$383.81,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$457.18,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,"$1,998.51",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83525,Insulin Measurement; Total,"$1,061.07",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82330,Ionized Calcium,$720.50,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83550,Iron Binding Capacity,$410.27,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83540,Iron level,$410.27,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$564.26,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$384.42,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$477.71,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$947.54,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83021,Liver function blood test panel,$546.51,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83735,Magnesium Level,$458.60,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82542,Mass spectrometry,$887.98,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$109.26,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$320.95,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83945,Oxalate level,$859.56,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83970,Parathormone,"$1,202.70",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84157,Prealbumin (protein) level,$442.87,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$296.74,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,"$1,185.84",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$606.97,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82270,Stool analysis for blood,$138.25,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84403,Testosterone (hormone) level,"$1,185.84",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84402,Testosterone Level; Free,"$1,044.21",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$460.85,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,"$1,556.48",GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$410.27,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84155,"Total protein level, blood",$387.79,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$531.66,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84166,Troponin (protein) analysis,$606.97,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84560,Uric acid level,$656.43,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84550,"Uric acid level, blood",$348.45,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82340,Urine calcium level,$267.52,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82436,Urine chloride level,$486.70,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$557.51,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$482.21,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$860.30,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84133,Urine potassium level,$303.49,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84300,Urine sodium level,$323.72,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84591,Vitamin B-6 level,$142.75,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$410.27,GA
Doctors Hospital Of Augusta,Chemistry,HCPCS 84630,Zinc level,$318.73,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$807.81,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$781.19,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$482.14,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$105.99,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$517.05,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$377.67,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$580.27,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$481.40,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$469.84,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$699.50,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$756.47,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$175.71,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86161,Measurement of Complement (Immune System Proteins),$665.54,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$324.99,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$404.49,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86431,Rheumatoid factor level,$349.57,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,$481.19,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$404.65,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86592,Syphilis Detection Test,$276.51,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86361,T cell count and ratio,$417.62,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$595.98,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86359,"T cells count, total",$595.98,GA
Doctors Hospital Of Augusta,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$578.87,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$82.06,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$582.25,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$384.42,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87491,Chlamydia Test,$176.91,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87635,Covid-19 current infection test,$43.13,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$742.98,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$718.88,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$469.84,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",$873.18,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$176.91,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87517,Hepatitis B Detection,"$1,636.00",GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$109.30,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87624,HPV Detection,$477.06,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 86735,Mumps virus antibody test,$593.48,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 86747,Parvovirus antibody test,$780.62,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 86762,Rubella virus antibody test,$337.21,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 86765,Rubeola virus antibody test,$314.72,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87207,Smear for infectious agents,$259.11,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87177,Smear for Parasites,$513.68,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$60.70,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87045,Stool Culture,$549.65,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87880,Strep Test,$340.57,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 87804,Test for Influenza Virus,$372.05,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$242.79,GA
Doctors Hospital Of Augusta,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$398.91,GA
Doctors Hospital Of Augusta,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,$219.21,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$919.45,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$826.15,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$964.41,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$531.66,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$959.92,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$756.47,GA
Doctors Hospital Of Augusta,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$301.24,GA
Doctors Hospital Of Augusta,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$520.21,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80299,Cortisol (hormone) measurement,$813.79,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80158,Cyclosporine level,$919.83,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$690.15,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$337.21,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,$538.46,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$404.65,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$374.30,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$285.51,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,$874.00,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$722.74,GA
Doctors Hospital Of Augusta,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$729.49,GA
Doctors Hospital Of Augusta,Transfusion,HCPCS 86900,"Blood Typing, ABO",$158.24,GA
Doctors Hospital Of Augusta,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$144.38,GA
Doctors Hospital Of Augusta,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$815.43,GA
Doctors Hospital Of Augusta,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$237.93,GA
Doctors Hospital Of Augusta,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$311.85,GA
Doctors Hospital Of Augusta,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$160.73,GA
