Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Fannin Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,GA
Fannin Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,GA
Fannin Regional Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,GA
Fannin Regional Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,GA
Fannin Regional Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,GA
Fannin Regional Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,GA
Fannin Regional Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,GA
Fannin Regional Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,GA
Fannin Regional Hospital,Speech,HCPCS 92507,Speech Therapy,-,GA
Fannin Regional Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,GA
Fannin Regional Hospital,Speech,HCPCS 92526,Swallow Treatment,-,GA
Fannin Regional Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,GA
Fannin Regional Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,GA
Fannin Regional Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,GA
Fannin Regional Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,GA
Fannin Regional Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,GA
Fannin Regional Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,GA
Fannin Regional Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,GA
Fannin Regional Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,GA
Fannin Regional Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,GA
Fannin Regional Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,GA
Fannin Regional Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,GA
Fannin Regional Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,-,GA
Fannin Regional Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,GA
Fannin Regional Hospital,Blood,HCPCS 85041,"Red blood count, automated test",-,GA
Fannin Regional Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82140,Ammonia level,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,GA
Fannin Regional Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,GA
