Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Kennestone Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,GA
Kennestone Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,GA
Kennestone Hospital,Psychology,HCPCS 90853,Group psychotherapy,-,GA
Kennestone Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,GA
Kennestone Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,GA
Kennestone Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,GA
Kennestone Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,GA
Kennestone Hospital,Speech,HCPCS 92507,Speech Therapy,-,GA
Kennestone Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,GA
Kennestone Hospital,Speech,HCPCS 92526,Swallow Treatment,-,GA
Kennestone Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,GA
Kennestone Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,GA
Kennestone Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,GA
Kennestone Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,GA
Kennestone Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,GA
Kennestone Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,GA
Kennestone Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,-,GA
Kennestone Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,GA
Kennestone Hospital,Chemistry,HCPCS 82310,Calcium level,-,GA
Kennestone Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,GA
Kennestone Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,GA
Kennestone Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,GA
Kennestone Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,-,GA
Kennestone Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,GA
Kennestone Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,-,GA
Kennestone Hospital,Chemistry,HCPCS 83540,Iron level,-,GA
Kennestone Hospital,Chemistry,HCPCS 83735,Magnesium Level,-,GA
Kennestone Hospital,Chemistry,HCPCS 82436,Urine chloride level,-,GA
Kennestone Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,-,GA
Kennestone Hospital,Chemistry,HCPCS 84133,Urine potassium level,-,GA
Kennestone Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,GA
Kennestone Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,-,GA
Kennestone Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,-,GA
Kennestone Hospital,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,-,GA
Kennestone Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),-,GA
Kennestone Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,GA
Kennestone Hospital,Microbiology,HCPCS 87491,Chlamydia Test,-,GA
Kennestone Hospital,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),-,GA
Kennestone Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,-,GA
Kennestone Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,-,GA
Kennestone Hospital,Microbiology,HCPCS 86735,Mumps virus antibody test,-,GA
Kennestone Hospital,Microbiology,HCPCS 86765,Rubeola virus antibody test,-,GA
Kennestone Hospital,Microbiology,HCPCS 86780,Treponema pallidum antibody test,-,GA
Kennestone Hospital,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,-,GA
Kennestone Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,GA
Kennestone Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,GA
Kennestone Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,GA
Kennestone Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,GA
Kennestone Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,-,GA
Kennestone Hospital,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,-,GA
Kennestone Hospital,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,-,GA
Kennestone Hospital,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",-,GA
Kennestone Hospital,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",-,GA
Kennestone Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,GA
Kennestone Hospital,Urinalysis,HCPCS 81025,Urine Pregnancy Test,-,GA
Kennestone Hospital,Cardiovascular,HCPCS 93015,"Cardiovascular stress test, with interpretation and report",-,GA
Kennestone Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,GA
Kennestone Hospital,Pulmonary,HCPCS 94640,Nebulizer Treatment,-,GA
Kennestone Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,GA
Kennestone Hospital,Breast,HCPCS 77066,Mammography of both breasts,-,GA
Kennestone Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,GA
Kennestone Hospital,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,-,GA
Kennestone Hospital,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,GA
Kennestone Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,GA
Kennestone Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,GA
Kennestone Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,GA
Kennestone Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,GA
Kennestone Hospital,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,GA
Kennestone Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,GA
Kennestone Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,GA
Kennestone Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,GA
Kennestone Hospital,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",-,GA
Kennestone Hospital,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,GA
Kennestone Hospital,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,GA
Kennestone Hospital,MRI,HCPCS 72146,MRI chest spine without contrast material,-,GA
Kennestone Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,GA
Kennestone Hospital,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,-,GA
Kennestone Hospital,MRI,HCPCS 72141,MRI neck spine without contrast material,-,GA
Kennestone Hospital,MRI,HCPCS 72156,MRI neck spine without & with contrast material,-,GA
Kennestone Hospital,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,-,GA
