Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Roosevelt Warm Springs,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$719.94,GA
Roosevelt Warm Springs,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,669.59",GA
Roosevelt Warm Springs,Emergency Care,HCPCS 99281,Emergency Level 1,$115.83,GA
Roosevelt Warm Springs,Emergency Care,HCPCS 99282,Emergency Level 2,$124.80,GA
Roosevelt Warm Springs,Emergency Care,HCPCS 99283,Emergency Level 3,$185.25,GA
Roosevelt Warm Springs,Emergency Care,HCPCS 99284,Emergency Level 4,$451.62,GA
Roosevelt Warm Springs,Emergency Care,HCPCS 99285,Emergency Level 5,$719.94,GA
Roosevelt Warm Springs,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$566.29,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$204.39,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$204.39,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$146.64,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$168.87,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$127.53,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$63.96,GA
Roosevelt Warm Springs,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$69.81,GA
Roosevelt Warm Springs,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$137.67,GA
Roosevelt Warm Springs,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$129.87,GA
Roosevelt Warm Springs,Psychology,HCPCS 90853,Group psychotherapy,$54.60,GA
Roosevelt Warm Springs,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$169.26,GA
Roosevelt Warm Springs,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$72.15,GA
Roosevelt Warm Springs,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$95.94,GA
Roosevelt Warm Springs,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$95.94,GA
Roosevelt Warm Springs,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$210.21,GA
Roosevelt Warm Springs,Speech,HCPCS 92507,Speech Therapy,$125.19,GA
Roosevelt Warm Springs,Speech,HCPCS 92610,Swallow Evaluation,$192.66,GA
Roosevelt Warm Springs,Speech,HCPCS 92526,Swallow Treatment,$115.44,GA
Roosevelt Warm Springs,Blood,HCPCS 85018,"Blood count, hemoglobin",$43.29,GA
Roosevelt Warm Springs,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$43.29,GA
Roosevelt Warm Springs,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$18.33,GA
Roosevelt Warm Springs,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$47.19,GA
Roosevelt Warm Springs,Blood,HCPCS 85610,"Blood test, clotting time",$43.29,GA
Roosevelt Warm Springs,Blood,HCPCS 85730,Coagulation assessment blood test,$43.29,GA
Roosevelt Warm Springs,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,GA
Roosevelt Warm Springs,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$43.29,GA
Roosevelt Warm Springs,Blood,HCPCS 85027,"Complete blood count, automated",$43.29,GA
Roosevelt Warm Springs,Blood,HCPCS 85008,Microscopic examination for white blood cells,$42.90,GA
Roosevelt Warm Springs,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$4.29,GA
Roosevelt Warm Springs,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$154.83,GA
Roosevelt Warm Springs,Blood,HCPCS 85660,Red blood cell sickling measurement,$7.02,GA
Roosevelt Warm Springs,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$248.04,GA
Roosevelt Warm Springs,Blood,HCPCS 85041,"Red blood count, automated test",-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$30.81,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82040,Albumin (protein) level,$28.47,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$26.13,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$13.26,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82140,Ammonia level,$56.16,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82150,Amylase (enzyme) level,$47.58,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$11.70,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$31.59,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84439,Assay of free thyroxine,$59.28,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$52.26,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82248,Bilirubin level (Direct),$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82247,Bilirubin level (Total),$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82565,Blood creatinine level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84295,Blood sodium level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$65.13,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82310,Calcium level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$63.57,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82465,Cholesterol level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82525,Copper level,$27.30,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82533,Cortisol Measurement,$49.53,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84681,C-peptide (protein) level,$75.27,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$54.60,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$46.02,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$56.16,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82746,Folic acid; serum,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$33.54,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$69.42,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$49.53,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$73.32,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83718,HDL cholesterol level,$69.81,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$26.13,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$26.13,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83520,IgE (immune system protein) level,$78.00,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83525,Insulin Measurement; Total,$13.65,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82330,Ionized Calcium,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83550,Iron Binding Capacity,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83540,Iron level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83721,LDL cholesterol level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$51.48,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$65.13,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83021,Liver function blood test panel,$69.42,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83735,Magnesium Level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82542,Mass spectrometry,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$38.61,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$20.28,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83918,Organic acid level,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83945,Oxalate level,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83970,Parathormone,$145.86,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84157,Prealbumin (protein) level,$32.76,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$40.56,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$62.40,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$50.70,GA
Roosevelt Warm Springs,Chemistry,HCPCS A9270,Selenium (vitamin) level,$16.32,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82270,Stool analysis for blood,$30.03,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84403,Testosterone (hormone) level,$67.86,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84402,Testosterone Level; Free,$25.35,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$36.66,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84155,"Total protein level, blood",$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84478,Triglycerides level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84166,Troponin (protein) analysis,$67.86,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84560,Uric acid level,$23.01,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84550,"Uric acid level, blood",$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82340,Urine calcium level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82436,Urine chloride level,$30.81,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$52.65,GA
Roosevelt Warm Springs,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$49.53,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$19.50,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84133,Urine potassium level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84300,Urine sodium level,$43.29,GA
Roosevelt Warm Springs,Chemistry,HCPCS 84591,Vitamin B-6 level,-,GA
Roosevelt Warm Springs,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$116.61,GA
