Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Tift Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$566.81,GA
Tift Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,428.73",GA
Tift Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$218.46,GA
Tift Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$298.73,GA
Tift Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$379.83,GA
Tift Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$658.38,GA
Tift Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$874.92,GA
Tift Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$591.99,GA
Tift Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$698.33,GA
Tift Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$333.51,GA
Tift Regional Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$226.20,GA
Tift Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$223.55,GA
Tift Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$149.03,GA
Tift Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$363.56,GA
Tift Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$167.59,GA
Tift Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$82.81,GA
Tift Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$82.81,GA
Tift Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$85.49,GA
Tift Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$310.48,GA
Tift Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$81.83,GA
Tift Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$116.05,GA
Tift Regional Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$30.53,GA
Tift Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$53.50,GA
Tift Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$154.39,GA
Tift Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$29.06,GA
Tift Regional Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$439.54,GA
Tift Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$77.44,GA
Tift Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$1,004.21",GA
Tift Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$595.18,GA
Tift Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$89.91,GA
Tift Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$198.13,GA
Tift Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$177.36,GA
Tift Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$149.03,GA
Tift Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$51.67,GA
Tift Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$117.02,GA
Tift Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$184.21,GA
Tift Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$177.87,GA
Tift Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$59.84,GA
Tift Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$89.91,GA
Tift Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$85.49,GA
Tift Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$9.14,GA
Tift Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$85.49,GA
Tift Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$48.37,GA
Tift Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$103.34,GA
