Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Floyd Valley Healthcare,Emergency Care,HCPCS 99281,Emergency Level 1,-,IA
Floyd Valley Healthcare,Emergency Care,HCPCS 99282,Emergency Level 2,-,IA
Floyd Valley Healthcare,Emergency Care,HCPCS 99283,Emergency Level 3,-,IA
Floyd Valley Healthcare,Emergency Care,HCPCS 99284,Emergency Level 4,-,IA
Floyd Valley Healthcare,Emergency Care,HCPCS 99285,Emergency Level 5,-,IA
Floyd Valley Healthcare,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,IA
Floyd Valley Healthcare,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,IA
Floyd Valley Healthcare,Speech,HCPCS 92507,Speech Therapy,-,IA
Floyd Valley Healthcare,Speech,HCPCS 92610,Swallow Evaluation,-,IA
Floyd Valley Healthcare,Speech,HCPCS 92526,Swallow Treatment,-,IA
Floyd Valley Healthcare,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,IA
Floyd Valley Healthcare,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,IA
Floyd Valley Healthcare,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,IA
Floyd Valley Healthcare,Blood,HCPCS 85610,"Blood test, clotting time",-,IA
Floyd Valley Healthcare,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,IA
Floyd Valley Healthcare,Blood,HCPCS 85027,"Complete blood count, automated",-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82140,Ammonia level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 84439,Assay of free thyroxine,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82247,Bilirubin level (Total),-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82565,Blood creatinine level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82533,Cortisol Measurement,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 83721,LDL cholesterol level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 83735,Magnesium Level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 83970,Parathormone,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,-,IA
Floyd Valley Healthcare,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,IA
Floyd Valley Healthcare,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),-,IA
Floyd Valley Healthcare,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,-,IA
Floyd Valley Healthcare,Immunology,HCPCS 86140,Measurement C-reactive protein,-,IA
Floyd Valley Healthcare,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,-,IA
Floyd Valley Healthcare,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),-,IA
Floyd Valley Healthcare,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,IA
Floyd Valley Healthcare,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,IA
Floyd Valley Healthcare,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,IA
Floyd Valley Healthcare,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,-,IA
Floyd Valley Healthcare,Microbiology,HCPCS 87880,Streptoccus,-,IA
Floyd Valley Healthcare,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,IA
Floyd Valley Healthcare,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,IA
Floyd Valley Healthcare,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,IA
Floyd Valley Healthcare,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,IA
Floyd Valley Healthcare,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,-,IA
Floyd Valley Healthcare,Therapeutic Drug Assays,HCPCS 80158,Cyclosporine level,-,IA
Floyd Valley Healthcare,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,-,IA
Floyd Valley Healthcare,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,-,IA
Floyd Valley Healthcare,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,-,IA
Floyd Valley Healthcare,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,-,IA
Floyd Valley Healthcare,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",-,IA
Floyd Valley Healthcare,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,IA
Floyd Valley Healthcare,Urinalysis,HCPCS 81025,Urine Pregnancy Test,-,IA
Floyd Valley Healthcare,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",-,IA
Floyd Valley Healthcare,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,IA
Floyd Valley Healthcare,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,IA
Floyd Valley Healthcare,Pulmonary,HCPCS 94010,Spirometry - breathing test,-,IA
Floyd Valley Healthcare,Sleep,HCPCS 95810,Sleep study,-,IA
Floyd Valley Healthcare,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,IA
Floyd Valley Healthcare,Breast,HCPCS 77067,Mammogram Screening,-,IA
Floyd Valley Healthcare,Breast,HCPCS 77066,Mammography of both breasts,-,IA
Floyd Valley Healthcare,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,IA
Floyd Valley Healthcare,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,IA
