Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
West Valley Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$244.90,ID
West Valley Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,924.59",ID
West Valley Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$95.78,ID
West Valley Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$732.27,ID
West Valley Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,332.30",ID
West Valley Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,317.22",ID
West Valley Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,088.99",ID
West Valley Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$338.07,ID
West Valley Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$474.43,ID
West Valley Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$233.46,ID
West Valley Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$610.94,ID
West Valley Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$397.55,ID
West Valley Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$230.76,ID
West Valley Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$549.85,ID
West Valley Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$480.02,ID
West Valley Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$549.85,ID
West Valley Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$610.94,ID
West Valley Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$45.77,ID
West Valley Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$45.77,ID
West Valley Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$113.05,ID
West Valley Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$180.74,ID
West Valley Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$131.15,ID
West Valley Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$142.59,ID
West Valley Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$219.37,ID
West Valley Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$160.91,ID
West Valley Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$55.80,ID
West Valley Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$134.98,ID
West Valley Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$865.89,ID
West Valley Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$164.55,ID
West Valley Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$356.74,ID
