Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Community Hospital East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,563.81",IN
Community Hospital East,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,679.02",IN
Community Hospital East,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,679.02",IN
Community Hospital East,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,679.02",IN
Community Hospital East,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,679.02",IN
Community Hospital East,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$288.11,IN
Community Hospital East,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$288.11,IN
Community Hospital East,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$288.11,IN
Community Hospital East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$91.77,IN
Community Hospital East,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$91.77,IN
Community Hospital East,Psychology,HCPCS 90853,Group psychotherapy,$91.28,IN
Community Hospital East,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$91.75,IN
Community Hospital East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$91.46,IN
Community Hospital East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$91.46,IN
Community Hospital East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$91.46,IN
Community Hospital East,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$261.63,IN
Community Hospital East,Speech,HCPCS 92507,Speech Therapy,$156.65,IN
Community Hospital East,Speech,HCPCS 92610,Swallow Evaluation,$79.30,IN
Community Hospital East,Speech,HCPCS 92526,Swallow Treatment,$150.15,IN
Community Hospital East,Blood,HCPCS 85018,"Blood count, hemoglobin",$40.41,IN
Community Hospital East,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$36.57,IN
Community Hospital East,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$100.79,IN
Community Hospital East,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$100.79,IN
Community Hospital East,Blood,HCPCS 85610,"Blood test, clotting time",$37.21,IN
Community Hospital East,Blood,HCPCS 85730,Coagulation assessment blood test,$70.82,IN
Community Hospital East,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$102.13,IN
