Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Community Howard Regional Health,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,674.06",IN
Community Howard Regional Health,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,939.05",IN
Community Howard Regional Health,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,939.05",IN
Community Howard Regional Health,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,939.05",IN
Community Howard Regional Health,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,939.05",IN
Community Howard Regional Health,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$182.22,IN
Community Howard Regional Health,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$182.22,IN
Community Howard Regional Health,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$94.62,IN
Community Howard Regional Health,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$94.62,IN
Community Howard Regional Health,Psychology,HCPCS 90853,Group psychotherapy,$90.46,IN
Community Howard Regional Health,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$96.28,IN
Community Howard Regional Health,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$91.08,IN
Community Howard Regional Health,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$91.08,IN
Community Howard Regional Health,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$91.08,IN
Community Howard Regional Health,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$250.77,IN
Community Howard Regional Health,Speech,HCPCS 92507,Speech Therapy,$156.65,IN
Community Howard Regional Health,Speech,HCPCS 92610,Swallow Evaluation,$79.30,IN
Community Howard Regional Health,Speech,HCPCS 92526,Swallow Treatment,$150.15,IN
Community Howard Regional Health,Blood,HCPCS 85018,"Blood count, hemoglobin",$39.63,IN
Community Howard Regional Health,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$37.04,IN
Community Howard Regional Health,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$100.93,IN
Community Howard Regional Health,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$100.93,IN
Community Howard Regional Health,Blood,HCPCS 85610,"Blood test, clotting time",$37.05,IN
Community Howard Regional Health,Blood,HCPCS 85730,Coagulation assessment blood test,$70.84,IN
Community Howard Regional Health,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$37.05,IN
Community Howard Regional Health,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$101.41,IN
Community Howard Regional Health,Blood,HCPCS 85027,"Complete blood count, automated",$101.41,IN
Community Howard Regional Health,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$65.00,IN
Community Howard Regional Health,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$269.67,IN
Community Howard Regional Health,Blood,HCPCS 85041,"Red blood count, automated test",$72.14,IN
Community Howard Regional Health,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$516.10,IN
Community Howard Regional Health,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$322.08,IN
Community Howard Regional Health,Chemistry,HCPCS 82040,Albumin (protein) level,$107.63,IN
Community Howard Regional Health,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$171.03,IN
Community Howard Regional Health,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$247.77,IN
Community Howard Regional Health,Chemistry,HCPCS 82140,Ammonia level,$159.49,IN
Community Howard Regional Health,Chemistry,HCPCS 82150,Amylase (enzyme) level,$119.47,IN
Community Howard Regional Health,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$190.81,IN
Community Howard Regional Health,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$205.73,IN
Community Howard Regional Health,Chemistry,HCPCS 84439,Assay of free thyroxine,$183.91,IN
Community Howard Regional Health,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$190.97,IN
Community Howard Regional Health,Chemistry,HCPCS 82248,Bilirubin level (Direct),$62.55,IN
Community Howard Regional Health,Chemistry,HCPCS 82247,Bilirubin level (Total),$62.55,IN
Community Howard Regional Health,Chemistry,HCPCS 82565,Blood creatinine level,$61.38,IN
Community Howard Regional Health,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$53.80,IN
Community Howard Regional Health,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$53.80,IN
Community Howard Regional Health,Chemistry,HCPCS 84132,Blood potassium level,$44.68,IN
Community Howard Regional Health,Chemistry,HCPCS 84295,Blood sodium level,$64.03,IN
Community Howard Regional Health,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$65.81,IN
Community Howard Regional Health,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$51.71,IN
Community Howard Regional Health,Chemistry,HCPCS 82310,Calcium level,$96.27,IN
Community Howard Regional Health,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$24.70,IN
Community Howard Regional Health,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$275.20,IN
