Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Deaconess Womens Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$858.60,IN
Deaconess Womens Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$858.60,IN
Deaconess Womens Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$858.60,IN
Deaconess Womens Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$858.60,IN
Deaconess Womens Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$858.60,IN
Deaconess Womens Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$314.45,IN
Deaconess Womens Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$314.45,IN
Deaconess Womens Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$314.45,IN
Deaconess Womens Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$223.30,IN
Deaconess Womens Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$190.30,IN
Deaconess Womens Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$234.07,IN
Deaconess Womens Hospital,Speech,HCPCS 92507,Speech Therapy,$196.31,IN
Deaconess Womens Hospital,Speech,HCPCS 92610,Swallow Evaluation,$275.50,IN
Deaconess Womens Hospital,Speech,HCPCS 92526,Swallow Treatment,$217.38,IN
Deaconess Womens Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$43.73,IN
Deaconess Womens Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$54.45,IN
Deaconess Womens Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$93.54,IN
Deaconess Womens Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$77.33,IN
Deaconess Womens Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$77.33,IN
Deaconess Womens Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$64.53,IN
Deaconess Womens Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$68.23,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$129.31,IN
Deaconess Womens Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$116.35,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$80.69,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$80.69,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$96.64,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$35.07,IN
Deaconess Womens Hospital,Chemistry,HCPCS 84132,Blood potassium level,$59.74,IN
Deaconess Womens Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$173.08,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$103.47,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$146.01,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$145.42,IN
Deaconess Womens Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$61.31,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$123.16,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$20.26,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$52.79,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83540,Iron level,$86.84,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$67.16,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$130.09,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$155.14,IN
Deaconess Womens Hospital,Chemistry,HCPCS 83735,Magnesium Level,$93.25,IN
Deaconess Womens Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$116.35,IN
Deaconess Womens Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$23.68,IN
Deaconess Womens Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$80.83,IN
Deaconess Womens Hospital,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$137.56,IN
Deaconess Womens Hospital,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$206.48,IN
Deaconess Womens Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$130.27,IN
Deaconess Womens Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$130.27,IN
Deaconess Womens Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,$74.95,IN
Deaconess Womens Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$93.26,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$192.73,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$89.37,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87491,Chlamydia Test,$64.94,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$155.45,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$130.27,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$64.94,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$149.17,IN
Deaconess Womens Hospital,Microbiology,HCPCS 86747,Parvovirus antibody test,$120.68,IN
Deaconess Womens Hospital,Microbiology,HCPCS 86762,Rubella virus antibody test,$118.22,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87045,Stool Culture,$89.58,IN
Deaconess Womens Hospital,Microbiology,HCPCS 87880,Strep Test,$75.27,IN
Deaconess Womens Hospital,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$75.93,IN
Deaconess Womens Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$442.74,IN
Deaconess Womens Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$223.77,IN
Deaconess Womens Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$311.15,IN
Deaconess Womens Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$178.28,IN
Deaconess Womens Hospital,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$253.17,IN
Deaconess Womens Hospital,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$193.06,IN
Deaconess Womens Hospital,Transfusion,HCPCS 86900,"Blood Typing, ABO",$41.86,IN
Deaconess Womens Hospital,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$41.86,IN
Deaconess Womens Hospital,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$162.04,IN
Deaconess Womens Hospital,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$121.01,IN
Deaconess Womens Hospital,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$121.01,IN
