Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
AdventHealth Manchester,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$673.44,KY
AdventHealth Manchester,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,129.44",KY
AdventHealth Manchester,Emergency Care,HCPCS 99281,Emergency Level 1,$146.44,KY
AdventHealth Manchester,Emergency Care,HCPCS 99282,Emergency Level 2,$261.77,KY
AdventHealth Manchester,Emergency Care,HCPCS 99283,Emergency Level 3,$406.38,KY
AdventHealth Manchester,Emergency Care,HCPCS 99284,Emergency Level 4,$554.16,KY
AdventHealth Manchester,Emergency Care,HCPCS 99285,Emergency Level 5,$686.11,KY
AdventHealth Manchester,Hospital,HCPCS 99234,Hospital observation care discharge,$138.00,KY
AdventHealth Manchester,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$139.00,KY
AdventHealth Manchester,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$173.00,KY
AdventHealth Manchester,Hospital,HCPCS 99218,Hospital Observation per Hour,$103.00,KY
AdventHealth Manchester,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$41.00,KY
AdventHealth Manchester,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$135.00,KY
AdventHealth Manchester,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$156.00,KY
AdventHealth Manchester,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$258.11,KY
AdventHealth Manchester,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$368.82,KY
AdventHealth Manchester,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$205.17,KY
AdventHealth Manchester,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$125.00,KY
AdventHealth Manchester,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$187.00,KY
AdventHealth Manchester,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$107.00,KY
AdventHealth Manchester,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$103.00,KY
AdventHealth Manchester,Psychology,HCPCS 90853,Group psychotherapy,$28.00,KY
AdventHealth Manchester,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$144.00,KY
AdventHealth Manchester,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$71.00,KY
AdventHealth Manchester,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$94.00,KY
AdventHealth Manchester,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$140.00,KY
AdventHealth Manchester,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$254.31,KY
AdventHealth Manchester,Speech,HCPCS 92507,Speech Therapy,$158.91,KY
AdventHealth Manchester,Speech,HCPCS 92610,Swallow Evaluation,$138.89,KY
AdventHealth Manchester,Speech,HCPCS 92526,Swallow Treatment,$87.73,KY
AdventHealth Manchester,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.39,KY
AdventHealth Manchester,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$17.96,KY
AdventHealth Manchester,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$90.19,KY
AdventHealth Manchester,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$114.25,KY
AdventHealth Manchester,Blood,HCPCS 85610,"Blood test, clotting time",$67.84,KY
AdventHealth Manchester,Blood,HCPCS 85730,Coagulation assessment blood test,$61.36,KY
AdventHealth Manchester,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$51.99,KY
AdventHealth Manchester,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$86.73,KY
AdventHealth Manchester,Blood,HCPCS 85027,"Complete blood count, automated",$58.85,KY
AdventHealth Manchester,Blood,HCPCS 85008,Microscopic examination for white blood cells,$4.00,KY
AdventHealth Manchester,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$35.35,KY
AdventHealth Manchester,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$56.15,KY
AdventHealth Manchester,Blood,HCPCS 85660,Red blood cell sickling measurement,$46.80,KY
AdventHealth Manchester,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$283.59,KY
AdventHealth Manchester,Blood,HCPCS 85041,"Red blood count, automated test",$38.47,KY
AdventHealth Manchester,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$54.12,KY
AdventHealth Manchester,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$322.31,KY
AdventHealth Manchester,Chemistry,HCPCS 82040,Albumin (protein) level,$61.32,KY
AdventHealth Manchester,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$102.21,KY
AdventHealth Manchester,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$180.39,KY
AdventHealth Manchester,Chemistry,HCPCS 82140,Ammonia level,$115.45,KY
AdventHealth Manchester,Chemistry,HCPCS 82150,Amylase (enzyme) level,$69.75,KY
AdventHealth Manchester,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$48.10,KY
