Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Bluegrass Community Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$78.24,KY
Bluegrass Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$139.46,KY
Bluegrass Community Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$227.33,KY
Bluegrass Community Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$363.96,KY
Bluegrass Community Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$755.13,KY
Bluegrass Community Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$73.36,KY
Bluegrass Community Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$136.48,KY
Bluegrass Community Hospital,Speech,HCPCS 92507,Speech Therapy,$60.71,KY
Bluegrass Community Hospital,Speech,HCPCS 92610,Swallow Evaluation,$200.70,KY
Bluegrass Community Hospital,Speech,HCPCS 92526,Swallow Treatment,$119.42,KY
Bluegrass Community Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$20.57,KY
Bluegrass Community Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$20.57,KY
Bluegrass Community Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$35.62,KY
Bluegrass Community Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$58.71,KY
Bluegrass Community Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$35.12,KY
Bluegrass Community Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$52.68,KY
Bluegrass Community Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$24.59,KY
Bluegrass Community Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$53.19,KY
Bluegrass Community Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$53.19,KY
Bluegrass Community Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$41.15,KY
Bluegrass Community Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$143.50,KY
Bluegrass Community Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$68.74,KY
Bluegrass Community Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$531.87,KY
Bluegrass Community Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$143.50,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$171.10,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$35.12,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$79.28,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$69.24,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82140,Ammonia level,$80.78,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$70.74,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$103.87,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$79.78,KY
Bluegrass Community Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$90.82,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$86.80,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$44.66,KY
Bluegrass Community Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$41.65,KY
