Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Western Massachusetts,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$48.75,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$42.75,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$37.50,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$46.50,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$8.25,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,183.50",MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,920.00",MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,374.75",MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,513.50",MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,920.00",MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$191.25,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,MA
Encompass Health Rehabilitation Hospital of Western Massachusetts,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$516.75,MA
